2016,,,,,
,Date,Two-party-preferred,,Days Since,Net on 2PP (Incumbent - Oppositon)
,,,,,
,,Lib/Nat,ALP,,Net on 2PP (Incumbent - Oppositon) - 2016
17–25 Mar 2018,25-Mar-18,0.49,0.51,631,-2.0000000000000018E-2
28-Mar-18,28-Mar-18,0.46,0.54,634,-8.0000000000000016E-2
24 Mar – 1 Apr 2018,01-Apr-18,0.49,0.51,638,-2.0000000000000018E-2
3–5 Apr 2018,05-Apr-18,0.48,0.52,642,-4.0000000000000036E-2
5–8 Apr 2018,08-Apr-18,0.47,0.53,645,-6.0000000000000053E-2
5–8 Apr 2018,08-Apr-18,0.48,0.52,645,-4.0000000000000036E-2
19–22 Apr 2018,22-Apr-18,0.47,0.53,659,-6.0000000000000053E-2
19-22 Apr 2018,22-Apr-18,0.49,0.51,659,-2.0000000000000018E-2
30-Apr-18,30-Apr-18,0.48,0.52,667,-4.0000000000000036E-2
3–6 May 2018,06-May-18,0.47,0.53,673,-6.0000000000000053E-2
10–12 May 2018,12-May-18,0.46,0.54,679,-8.0000000000000016E-2
10–13 May 2018,13-May-18,0.48,0.52,680,-4.0000000000000036E-2
10–13 May 2018,13-May-18,0.49,0.51,680,-2.0000000000000018E-2
17–20 May 2018,20-May-18,0.49,0.51,687,-2.0000000000000018E-2
24–27 May 2018,27-May-18,0.48,0.52,694,-4.0000000000000036E-2
02-Jun-18,02-Jun-18,0.48,0.52,700,-4.0000000000000036E-2
31 May – 3 Jun 2018,03-Jun-18,0.46,0.54,701,-8.0000000000000016E-2
14–17 Jun 2018,17-Jun-18,0.48,0.52,715,-4.0000000000000036E-2
14–17 Jun 2018,17-Jun-18,0.48,0.52,715,-4.0000000000000036E-2
21–24 Jun 2018,24-Jun-18,0.47,0.53,722,-6.0000000000000053E-2
28 Jun - 1 Jul 2018,01-Jul-18,0.48,0.52,729,-4.0000000000000036E-2
28 Jun - 1 Jul 2018,01-Jul-18,0.49,0.51,729,-2.0000000000000018E-2
12-15 Jul 2018,15-Jul-18,0.49,0.51,743,-2.0000000000000018E-2
12-15 Jul 2018,15-Jul-18,0.49,0.51,743,-2.0000000000000018E-2
26-29 Jul 2018,29-Jul-18,0.49,0.51,757,-2.0000000000000018E-2
2-2 Aug 2018,02-Aug-18,0.48,0.52,761,-4.0000000000000036E-2
9-12 Aug 2018,12-Aug-18,0.49,0.51,771,-2.0000000000000018E-2
15–18 Aug 2018,18-Aug-18,0.45,0.55000000000000004,777,-0.10000000000000003
24–25 Aug 2018,25-Aug-18,0.44,0.56000000000000005,784,-0.12000000000000005
25–26 Aug 2018,26-Aug-18,0.46,0.54,785,-8.0000000000000016E-2
24–26 Aug 2018,26-Aug-18,0.45,0.55000000000000004,785,-0.10000000000000003
6–9 Sep 2018,09-Sep-18,0.46,0.54,799,-8.0000000000000016E-2
6–9 Sep 2018,09-Sep-18,0.44,0.56000000000000005,799,-0.12000000000000005
12–15 Sep 2018,15-Sep-18,0.47,0.53,805,-6.0000000000000053E-2
20–23 Sep 2018,23-Sep-18,0.47,0.53,813,-6.0000000000000053E-2
20–23 Sep 2018,23-Sep-18,0.46,0.54,813,-8.0000000000000016E-2
5–7 Oct 2018,07-Oct-18,0.47,0.53,827,-6.0000000000000053E-2
11–13 Oct 2018,13-Oct-18,0.47,0.53,833,-6.0000000000000053E-2
10–13 Oct 2018,13-Oct-18,0.45,0.55000000000000004,833,-0.10000000000000003
18–21 Oct 2018,21-Oct-18,0.47,0.53,841,-6.0000000000000053E-2
25–28 Oct 2018,28-Oct-18,0.46,0.54,848,-8.0000000000000016E-2
1–4 Nov 2018,04-Nov-18,0.46,0.54,855,-8.0000000000000016E-2
8–11 Nov 2018,11-Nov-18,0.45,0.55000000000000004,862,-0.10000000000000003
15–17 Nov 2018,17-Nov-18,0.48,0.52,868,-4.0000000000000036E-2
15–18 Nov 2018,18-Nov-18,0.48,0.52,869,-4.0000000000000036E-2
22–25 Nov 2018,25-Nov-18,0.45,0.55000000000000004,876,-0.10000000000000003
29 Nov – 2 Dec 2018,02-Dec-18,0.46,0.54,883,-8.0000000000000016E-2
6–9 Dec 2018,09-Dec-18,0.45,0.55000000000000004,890,-0.10000000000000003
12–15 Dec 2018,15-Dec-18,0.46,0.54,896,-8.0000000000000016E-2
13–16 Dec 2018,16-Dec-18,0.47,0.53,897,-6.0000000000000053E-2
9–13 Jan 2019,13-Jan-19,0.47,0.53,925,-6.0000000000000053E-2
24–27 Jan 2019,27-Jan-19,0.47,0.53,939,-6.0000000000000053E-2
23–31 Jan 2019,31-Jan-19,0.48,0.52,943,-4.0000000000000036E-2
7–10 Feb 2019,10-Feb-19,0.47,0.53,953,-6.0000000000000053E-2
6–11 Feb 2019,11-Feb-19,0.45,0.55000000000000004,954,-0.10000000000000003
12–15 Feb 2019,15-Feb-19,0.49,0.51,958,-2.0000000000000018E-2
21–24 Feb 2019,24-Feb-19,0.47,0.53,967,-6.0000000000000053E-2
20–25 Feb 2019,25-Feb-19,0.48,0.52,968,-4.0000000000000036E-2
7–10 Mar 2019,10-Mar-19,0.46,0.54,981,-8.0000000000000016E-2
6–11 Mar 2019,11-Mar-19,0.47,0.53,982,-6.0000000000000053E-2
20–25 Mar 2019,25-Mar-19,0.48,0.52,996,-4.0000000000000036E-2
25–28 Mar 2019,28-Mar-19,0.47,0.53,999,-6.0000000000000053E-2
3–6 Apr 2019,06-Apr-19,0.47,0.53,1008,-6.0000000000000053E-2
6–7 Apr 2019,07-Apr-19,0.47499999999999998,0.52500000000000002,1009,-5.0000000000000044E-2
4–7 Apr 2019,07-Apr-19,0.48,0.52,1009,-4.0000000000000036E-2
4–8 Apr 2019,08-Apr-19,0.48,0.52,1010,-4.0000000000000036E-2
11–14 Apr 2019,14-Apr-19,0.48,0.52,1016,-4.0000000000000036E-2
20–21 Apr 2019,21-Apr-19,0.49,0.51,1023,-2.0000000000000018E-2
23–25 Apr 2019,25-Apr-19,0.48,0.52,1027,-4.0000000000000036E-2
27–28 Apr 2019,28-Apr-19,0.49,0.51,1030,-2.0000000000000018E-2
26–28 Apr 2019,28-Apr-19,0.49,0.51,1030,-2.0000000000000018E-2
25–29 Apr 2019,29-Apr-19,0.49,0.51,1031,-2.0000000000000018E-2
1–4 May 2019,04-May-19,0.48,0.52,1036,-4.0000000000000036E-2
4–5 May 2019,05-May-19,0.49,0.51,1037,-2.0000000000000018E-2
2–5 May 2019,05-May-19,0.49,0.51,1037,-2.0000000000000018E-2
2–6 May 2019,06-May-19,0.48,0.52,1038,-4.0000000000000036E-2
9–11 May 2019,11-May-19,0.49,0.51,1043,-2.0000000000000018E-2
10–12 May 2019,12-May-19,0.48,0.52,1044,-4.0000000000000036E-2
10–14 May 2019,14-May-19,0.48499999999999999,0.51500000000000001,1046,-3.0000000000000027E-2
13–15 May 2019,15-May-19,0.49,0.51,1047,-2.0000000000000018E-2
12–15 May 2019,15-May-19,0.49,0.51,1047,-2.0000000000000018E-2
15–16 May 2019,16-May-19,0.48499999999999999,0.51500000000000001,1048,-3.0000000000000027E-2
18-May-19,#N/A,0.48,0.52,#N/A,-4.0000000000000036E-2
