2010,,,,,
,Date,Two-party-preferred,,Days Since,Net on 2PP (Incumbent - Oppositon)
8–9 Oct 2011,09-Oct-11,0.5,0.5,414,0
7–9 Oct 2011,09-Oct-11,0.43,0.56999999999999995,414,-0.13999999999999996
4–9 Oct 2011,09-Oct-11,0.45,0.55000000000000004,414,-0.10000000000000003
13–15 Oct 2011,15-Oct-11,0.43,0.56999999999999995,420,-0.13999999999999996
15–16 Oct 2011,16-Oct-11,0.48499999999999999,0.51500000000000001,421,-3.0000000000000027E-2
14–16 Oct 2011,16-Oct-11,0.42,0.57999999999999996,421,-0.15999999999999998
12–16 Oct 2011,16-Oct-11,0.45,0.55000000000000004,421,-0.10000000000000003
22–23 Oct 2011,23-Oct-11,0.45500000000000002,0.54500000000000004,428,-9.0000000000000024E-2
21–23 Oct 2011,23-Oct-11,0.46,0.54,428,-8.0000000000000016E-2
19–23 Oct 2011,23-Oct-11,0.45,0.55000000000000004,428,-0.10000000000000003
25–26 Oct 2011,26-Oct-11,0.45,0.55000000000000004,431,-0.10000000000000003
26–30 Oct 2011,30-Oct-11,0.45,0.55000000000000004,435,-0.10000000000000003
29–30 Oct 2011,30-Oct-11,0.47,0.53,435,-6.0000000000000053E-2
2–3 Nov 2011,03-Nov-11,0.47499999999999998,0.52500000000000002,439,-5.0000000000000044E-2
3–6 Nov 2011,06-Nov-11,0.47,0.53,442,-6.0000000000000053E-2
2–6 Nov 2011,06-Nov-11,0.46,0.54,442,-8.0000000000000016E-2
10–12 Nov 2011,12-Nov-11,0.45,0.55000000000000004,448,-0.10000000000000003
9–13 Nov 2011,13-Nov-11,0.46,0.54,449,-8.0000000000000016E-2
5–6/12–13 Nov 2011,13-Nov-11,0.46500000000000002,0.53500000000000003,449,-7.0000000000000007E-2
19–20 Nov 2011,20-Nov-11,0.48499999999999999,0.51500000000000001,456,-3.0000000000000027E-2
18–20 Nov 2011,20-Nov-11,0.43,0.56999999999999995,456,-0.13999999999999996
16–20 Nov 2011,20-Nov-11,0.45,0.55000000000000004,456,-0.10000000000000003
23–27 Nov 2011,27-Nov-11,0.46,0.54,463,-8.0000000000000016E-2
2–4 Dec 2011,04-Dec-11,0.46,0.54,470,-8.0000000000000016E-2
30 Nov–4 Dec 2011,04-Dec-11,0.46,0.54,470,-8.0000000000000016E-2
26–27 Nov/3–4 Dec 2011,04-Dec-11,0.47,0.53,470,-6.0000000000000053E-2
8–10 Dec 2011,10-Dec-11,0.43,0.56999999999999995,476,-0.13999999999999996
7–11 Dec 2011,11-Dec-11,0.45,0.55000000000000004,477,-0.10000000000000003
14–18 Dec 2011,18-Dec-11,0.46,0.54,484,-8.0000000000000016E-2
10–11/17–18 Dec 2011,18-Dec-11,0.5,0.5,484,0
7–8 Jan 2012,08-Jan-12,0.48499999999999999,0.51500000000000001,505,-3.0000000000000027E-2
11–15 Jan 2012,15-Jan-12,0.46,0.54,512,-8.0000000000000016E-2
17–18 Jan 2012,18-Jan-12,0.46500000000000002,0.53500000000000003,515,-7.0000000000000007E-2
18–22 Jan 2012,22-Jan-12,0.46,0.54,519,-8.0000000000000016E-2
14–15/21–22 Jan 2012,22-Jan-12,0.51,0.49,519,2.0000000000000018E-2
27–28 Jan 2012,28-Jan-12,0.46,0.54,525,-8.0000000000000016E-2
28–29 Jan 2012,29-Jan-12,0.51,0.49,526,2.0000000000000018E-2
27–29 Jan 2012,29-Jan-12,0.46,0.54,526,-8.0000000000000016E-2
25–29 Jan 2012,29-Jan-12,0.46,0.54,526,-8.0000000000000016E-2
2–4 Feb 2012,04-Feb-12,0.47,0.53,532,-6.0000000000000053E-2
4–5 Feb 2012,05-Feb-12,0.48499999999999999,0.51500000000000001,533,-3.0000000000000027E-2
1–5 Feb 2012,05-Feb-12,0.46,0.54,533,-8.0000000000000016E-2
7–8 Feb 2012,08-Feb-12,0.44500000000000001,0.55500000000000005,536,-0.11000000000000004
8–10 Feb 2012,10-Feb-12,0.46,0.54,538,-8.0000000000000016E-2
10–12 Feb 2012,12-Feb-12,0.45,0.55000000000000004,540,-0.10000000000000003
15–19 Feb 2012,19-Feb-12,0.45,0.55000000000000004,547,-0.10000000000000003
11–12/18–19 Feb 2012,19-Feb-12,0.51500000000000001,0.48499999999999999,547,3.0000000000000027E-2
22–23 Feb 2012,23-Feb-12,0.47,0.53,551,-6.0000000000000053E-2
23–24 Feb 2012,24-Feb-12,0.46,0.54,552,-8.0000000000000016E-2
25–26 Feb 2012,26-Feb-12,0.5,0.5,554,0
23–26 Feb 2012,26-Feb-12,0.47,0.53,554,-6.0000000000000053E-2
22–26 Feb 2012,26-Feb-12,0.44,0.56000000000000005,554,-0.12000000000000005
3–4 Mar 2012,04-Mar-12,0.5,0.5,561,0
29 Feb–4 Mar 2012,04-Mar-12,0.44,0.56000000000000005,561,-0.12000000000000005
9–11 Mar 2012,11-Mar-12,0.47,0.53,568,-6.0000000000000053E-2
7–11 Mar 2012,11-Mar-12,0.43,0.56999999999999995,568,-0.13999999999999996
14–18 Mar 2012,18-Mar-12,0.46,0.54,575,-8.0000000000000016E-2
10–11/17–18 Mar 2012,18-Mar-12,0.48,0.52,575,-4.0000000000000036E-2
21–25 Mar 2012,25-Mar-12,0.46,0.54,582,-8.0000000000000016E-2
24–25 Mar 2012,25-Mar-12,0.48499999999999999,0.51500000000000001,582,-3.0000000000000027E-2
23–25 Mar 2012,25-Mar-12,0.43,0.56999999999999995,582,-0.13999999999999996
29–31 Mar 2012,31-Mar-12,0.43,0.56999999999999995,588,-0.13999999999999996
31 Mar–1 Apr 2012,01-Apr-12,0.46500000000000002,0.53500000000000003,589,-7.0000000000000007E-2
28 Mar–1 Apr 2012,01-Apr-12,0.45,0.55000000000000004,589,-0.10000000000000003
4–9 Apr 2012,09-Apr-12,0.43,0.56999999999999995,597,-0.13999999999999996
13–15 Apr 2012,15-Apr-12,0.44,0.56000000000000005,603,-0.12000000000000005
11–15 Apr 2012,15-Apr-12,0.44,0.56000000000000005,603,-0.12000000000000005
7–8/14–15 Apr 2012,15-Apr-12,0.45,0.55000000000000004,603,-0.10000000000000003
17–19 Apr 2012,19-Apr-12,0.44,0.56000000000000005,607,-0.12000000000000005
21–22 Apr 2012,22-Apr-12,0.44,0.56000000000000005,610,-0.12000000000000005
18–22 Apr 2012,22-Apr-12,0.44,0.56000000000000005,610,-0.12000000000000005
27–29 Apr 2012,29-Apr-12,0.41,0.59,617,-0.18
27–29 Apr 2012,29-Apr-12,0.44,0.56000000000000005,617,-0.12000000000000005
25–29 Apr 2012,29-Apr-12,0.43,0.56999999999999995,617,-0.13999999999999996
5–6 May 2012,06-May-12,0.44500000000000001,0.55500000000000005,624,-0.11000000000000004
2–6 May 2012,06-May-12,0.42,0.57999999999999996,624,-0.15999999999999998
9–10 May 2012,10-May-12,0.42,0.57999999999999996,628,-0.15999999999999998
9–10 May 2012,10-May-12,0.42,0.57999999999999996,628,-0.15999999999999998
12–13 May 2012,13-May-12,0.44500000000000001,0.55500000000000005,631,-0.11000000000000004
11–13 May 2012,13-May-12,0.45,0.55000000000000004,631,-0.10000000000000003
9–13 May 2012,13-May-12,0.43,0.56999999999999995,631,-0.13999999999999996
16–20 May 2012,20-May-12,0.44,0.56000000000000005,638,-0.12000000000000005
19–20 May 2012,20-May-12,0.45,0.55000000000000004,638,-0.10000000000000003
26–27 May 2012,27-May-12,0.42,0.57999999999999996,645,-0.15999999999999998
23–27 May 2012,27-May-12,0.43,0.56999999999999995,645,-0.13999999999999996
25–27 May 2012,27-May-12,0.46,0.54,645,-8.0000000000000016E-2
31 May–2 Jun 2012,02-Jun-12,0.43,0.56999999999999995,651,-0.13999999999999996
2–3 Jun 2012,03-Jun-12,0.44500000000000001,0.55500000000000005,652,-0.11000000000000004
30 May–3 Jun 2012,03-Jun-12,0.44,0.56000000000000005,652,-0.12000000000000005
9–10 Jun 2012,10-Jun-12,0.48,0.52,659,-4.0000000000000036E-2
7–10 Jun 2012,10-Jun-12,0.46,0.54,659,-8.0000000000000016E-2
6–11 Jun 2012,11-Jun-12,0.44,0.56000000000000005,660,-0.12000000000000005
13–17 Jun 2012,17-Jun-12,0.44,0.56000000000000005,666,-0.12000000000000005
15–17 Jun 2012,17-Jun-12,0.44,0.56000000000000005,666,-0.12000000000000005
22–24 Jun 2012,24-Jun-12,0.45,0.55000000000000004,673,-0.10000000000000003
20–24 Jun 2012,24-Jun-12,0.44,0.56000000000000005,673,-0.12000000000000005
16–17/23–24 Jun 2012,24-Jun-12,0.46,0.54,673,-8.0000000000000016E-2
27 Jun–1 Jul 2012,01-Jul-12,0.44,0.56000000000000005,680,-0.12000000000000005
6–8 Jul 2012,08-Jul-12,0.44,0.56000000000000005,687,-0.12000000000000005
4–8 Jul 2012,08-Jul-12,0.44,0.56000000000000005,687,-0.12000000000000005
30 Jun–1/7–8 Jul 2012,08-Jul-12,0.46,0.54,687,-8.0000000000000016E-2
11–15 Jul 2012,15-Jul-12,0.43,0.56999999999999995,694,-0.13999999999999996
20–22 Jul 2012,22-Jul-12,0.44,0.56000000000000005,701,-0.12000000000000005
18–22 Jul 2012,22-Jul-12,0.44,0.56000000000000005,701,-0.12000000000000005
14–15/21–22 Jul 2012,22-Jul-12,0.46,0.54,701,-8.0000000000000016E-2
26–28 Jul 2012,28-Jul-12,0.44,0.56000000000000005,707,-0.12000000000000005
25–29 Jul 2012,29-Jul-12,0.45,0.55000000000000004,708,-0.10000000000000003
3–5 Aug 2012,05-Aug-12,0.46,0.54,715,-8.0000000000000016E-2
1–5 Aug 2012,05-Aug-12,0.44,0.56000000000000005,715,-0.12000000000000005
28–29 Jul/4–5 Aug 2012,05-Aug-12,0.46500000000000002,0.53500000000000003,715,-7.0000000000000007E-2
8–12 Aug 2012,12-Aug-12,0.44,0.56000000000000005,722,-0.12000000000000005
15–19 Aug 2012,19-Aug-12,0.43,0.56999999999999995,729,-0.13999999999999996
17–19 Aug 2012,19-Aug-12,0.47,0.53,729,-6.0000000000000053E-2
11–12/18–19 Aug 2012,19-Aug-12,0.47,0.53,729,-6.0000000000000053E-2
23–25 Aug 2012,25-Aug-12,0.46,0.54,735,-8.0000000000000016E-2
22–26 Aug 2012,26-Aug-12,0.44,0.56000000000000005,736,-0.12000000000000005
29 Aug–2 Sep 2012,02-Sep-12,0.45,0.55000000000000004,743,-0.10000000000000003
31 Aug–2 Sep 2012,02-Sep-12,0.45,0.55000000000000004,743,-0.10000000000000003
1–2 Sep 2012,02-Sep-12,0.48499999999999999,0.51500000000000001,743,-3.0000000000000027E-2
13–15 Sep 2012,15-Sep-12,0.47,0.53,756,-6.0000000000000053E-2
14–16 Sep 2012,16-Sep-12,0.5,0.5,757,0
12–16 Sep 2012,16-Sep-12,0.45,0.55000000000000004,757,-0.10000000000000003
8–9/15–16 Sep 2012,16-Sep-12,0.495,0.505,757,-1.0000000000000009E-2
17–20 Sep 2012,20-Sep-12,0.47499999999999998,0.52500000000000002,761,-5.0000000000000044E-2
22–23 Sep 2012,23-Sep-12,0.5,0.5,764,0
19–23 Sep 2012,23-Sep-12,0.45,0.55000000000000004,764,-0.10000000000000003
26–30 Sep 2012,30-Sep-12,0.47,0.53,771,-6.0000000000000053E-2
5–7 Oct 2012,07-Oct-12,0.46,0.54,778,-8.0000000000000016E-2
3–7 Oct 2012,07-Oct-12,0.47,0.53,778,-6.0000000000000053E-2
29–30 Sep/6–7 Oct 2012,07-Oct-12,0.49,0.51,778,-2.0000000000000018E-2
10–14 Oct 2012,14-Oct-12,0.47,0.53,785,-6.0000000000000053E-2
18–20 Oct 2012,20-Oct-12,0.48,0.52,791,-4.0000000000000036E-2
13–14/20–21 Oct 2012,21-Oct-12,0.42499999999999999,0.57499999999999996,792,-0.14999999999999997
17–21 Oct 2012,21-Oct-12,0.47,0.53,792,-6.0000000000000053E-2
26–28 Oct 2012,28-Oct-12,0.5,0.5,799,0
25–28 Oct 2012,28-Oct-12,0.46,0.54,799,-8.0000000000000016E-2
2–4 Nov 2012,04-Nov-12,0.47,0.53,806,-6.0000000000000053E-2
27–28 Oct/3–4 Nov 2012,04-Nov-12,0.48,0.52,806,-4.0000000000000036E-2
2–6 Nov 2012,06-Nov-12,0.47,0.53,808,-6.0000000000000053E-2
9–11 Nov 2012,11-Nov-12,0.49,0.51,813,-2.0000000000000018E-2
7–11 Nov 2012,11-Nov-12,0.48,0.52,813,-4.0000000000000036E-2
15–17 Nov 2012,17-Nov-12,0.47,0.53,819,-6.0000000000000053E-2
14–18 Nov 2012,18-Nov-12,0.47,0.53,820,-6.0000000000000053E-2
10–11/17–18 Nov 2012,18-Nov-12,0.49,0.51,820,-2.0000000000000018E-2
23–25 Nov 2012,25-Nov-12,0.49,0.51,827,-2.0000000000000018E-2
21–25 Nov 2012,25-Nov-12,0.47,0.53,827,-6.0000000000000053E-2
27–29 Nov 2012,29-Nov-12,0.47499999999999998,0.52500000000000002,831,-5.0000000000000044E-2
29–30 Nov 2012,30-Nov-12,0.46,0.54,832,-8.0000000000000016E-2
28 Nov–2 Dec 2012,02-Dec-12,0.47,0.53,834,-6.0000000000000053E-2
24–25 Nov/1–2 Dec 2012,02-Dec-12,0.495,0.505,834,-1.0000000000000009E-2
5–9 Dec 2012,09-Dec-12,0.46,0.54,841,-8.0000000000000016E-2
7–9 Dec 2012,09-Dec-12,0.46,0.54,841,-8.0000000000000016E-2
13–15 Dec 2012,15-Dec-12,0.48,0.52,847,-4.0000000000000036E-2
12–16 Dec 2012,16-Dec-12,0.45,0.55000000000000004,848,-0.10000000000000003
8–9/15–16 Dec 2012,16-Dec-12,0.53500000000000003,0.46500000000000002,848,7.0000000000000007E-2
9–13 Jan 2013,13-Jan-13,0.46,0.54,876,-8.0000000000000016E-2
11–13 Jan 2013,13-Jan-13,0.49,0.51,876,-2.0000000000000018E-2
5–6/12–13 Jan 2013,13-Jan-13,0.49,0.51,876,-2.0000000000000018E-2
16–20 Jan 2013,20-Jan-13,0.46,0.54,883,-8.0000000000000016E-2
19–20/26–27 Jan 2013,27-Jan-13,0.495,0.505,890,-1.0000000000000009E-2
23–28 Jan 2013,28-Jan-13,0.46,0.54,891,-8.0000000000000016E-2
2–3 Feb 2013,03-Feb-13,0.48499999999999999,0.51500000000000001,897,-3.0000000000000027E-2
1–3 Feb 2013,03-Feb-13,0.44,0.56000000000000005,897,-0.12000000000000005
1–3 Feb 2013,03-Feb-13,0.46,0.54,897,-8.0000000000000016E-2
1–4 Feb 2013,04-Feb-13,0.46,0.54,898,-8.0000000000000016E-2
7–10 Feb 2013,10-Feb-13,0.45,0.55000000000000004,904,-0.10000000000000003
9–10 Feb 2013,10-Feb-13,0.45500000000000002,0.54500000000000004,904,-9.0000000000000024E-2
14–16 Feb 2013,16-Feb-13,0.44,0.56000000000000005,910,-0.12000000000000005
14–17 Feb 2013,17-Feb-13,0.46,0.54,911,-8.0000000000000016E-2
21–24 Feb 2013,24-Feb-13,0.44,0.56000000000000005,918,-0.12000000000000005
16–17/23–24 Feb 2013,24-Feb-13,0.46500000000000002,0.53500000000000003,918,-7.0000000000000007E-2
22–24 Feb 2013,24-Feb-13,0.45,0.55000000000000004,918,-0.10000000000000003
28 Feb–3 Mar 2013,03-Mar-13,0.44,0.56000000000000005,925,-0.12000000000000005
28 Feb–3 Mar 2013,03-Mar-13,0.46,0.54,925,-8.0000000000000016E-2
5–7 Mar 2013,07-Mar-13,0.45,0.55000000000000004,929,-0.10000000000000003
7–10 Mar 2013,10-Mar-13,0.45,0.55000000000000004,932,-0.10000000000000003
7–10 Mar 2013,10-Mar-13,0.44500000000000001,0.55500000000000005,932,-0.11000000000000004
8–10 Mar 2013,10-Mar-13,0.48,0.52,932,-4.0000000000000036E-2
14–16 Mar 2013,16-Mar-13,0.44,0.56000000000000005,938,-0.12000000000000005
14–17 Mar 2013,17-Mar-13,0.46,0.54,939,-8.0000000000000016E-2
14–17 Mar 2013,17-Mar-13,0.46,0.54,939,-8.0000000000000016E-2
