Riverina,LDP,6.65
Riverina,Grn,6.43
Robertson,AJP,2.03
Robertson,ALP,37.66
Robertson,CEC,0.28
Robertson,Lib,39.96
Robertson,UAP,2.9
Robertson,LDP,0.76
Robertson,IAP,1.17
Robertson,One,3.82
Robertson,IMO,1.16
Robertson,CYA,0.23
Robertson,Grn,10.02
Shortland,AJP,2.97
Shortland,Ind,2.55
Shortland,LDP,2.98
Shortland,Lib,32.12
Shortland,ALP,40.02
Shortland,UAP,3.12
Shortland,Grn,9.88
Shortland,One,6.38
Sydney,SAL,1.47
Sydney,ALP,50.82
Sydney,One,1.83
Sydney,Grn,23.01
Sydney,CEC,0.97
Sydney,UAP,2.23
Sydney,Lib,19.66
Warringah,One,2.12
Warringah,Ind,44.82
Warringah,UAP,2.36
Warringah,Grn,7.4
Warringah,Lib,33.35
Warringah,ALP,8.36
Warringah,AJP,1.58
Watson,Lib,26.55
Watson,UAP,7.15
Watson,ALP,51.87
Watson,One,4.87
Watson,Grn,9.57
Wentworth,ALP,10.86
Wentworth,One,1.01
Wentworth,Grn,8.33
Wentworth,UAP,2.04
Wentworth,Ind,35.77
Wentworth,LDP,1.51
Wentworth,Lib,40.48
Werriwa,LDP,8.92
Werriwa,UAP,8.76
Werriwa,ALP,39.86
Werriwa,Grn,6.73
Werriwa,Lib,30.67
Werriwa,One,5.06
Whitlam,ALP,45.01
Whitlam,LDP,3.72
Whitlam,One,6.9
Whitlam,Lib,28.21
Whitlam,UAP,5.38
Whitlam,Grn,10.77
Lingiari,CLP,34.69
Lingiari,Grn,10.95
Lingiari,CEC,1.08
Lingiari,UAP,4.11
Lingiari,ALP,36.56
Lingiari,Ind,2.07
Lingiari,Ind,0.89
Lingiari,One,5.39
Lingiari,LDP,4.25
Solomon,LDP,10.59
Solomon,Grn,14.81
Solomon,ALP,39.5
Solomon,CLP,24.98
Solomon,One,5.35
Solomon,UAP,4.77
Blair,Grn,12.58
Blair,LDP,2.95
Blair,UAP,6.09
Blair,One,9.99
Blair,ALP,35.01
Blair,AUVA,2.02
Blair,AJP,2.46
Blair,LNP,28.89
Bonner,LNP,44.82
Bonner,One,5.57
Bonner,UAP,3.3
Bonner,ALP,29.56
Bonner,Grn,16.75
Bowman,One,7.69
Bowman,UAP,6.49
Bowman,Grn,13.02
Bowman,LNP,42.37
Bowman,TNL,1.22
Bowman,ALP,29.2
Brisbane,AJP,1.96
Brisbane,UAP,1.93
Brisbane,Grn,27.24
Brisbane,ALP,27.25
Brisbane,LNP,37.71
Brisbane,One,2.23
Brisbane,LDP,1.66
Capricornia,One,14.6
Capricornia,IMO,1.25
Capricornia,Grn,5.87
Capricornia,ALP,28.05
Capricornia,LDP,1.54
Capricornia,Ind,3.38
Capricornia,UAP,3.94
Capricornia,LNP,39.44
Capricornia,GAP,1.93
Dawson,LNP,43.33
Dawson,One,13.27
Dawson,ALP,24.47
Dawson,GAP,2.1
Dawson,UAP,4.01
Dawson,KAP,5.61
Dawson,Grn,7.21
Dickson,Ind,2.24
Dickson,LDP,1.25
Dickson,LNP,42.07
Dickson,Ind,1.63
Dickson,One,5.36
Dickson,UAP,2.74
Dickson,ALP,31.7
Dickson,Grn,13
Fadden,Ind,4.17
Fadden,ALP,22.35
