'Electorate','ID1','ID2','Number',,, value
'Lindsay','LDP','UAPP',431,'LindsayLDP',1627,0.264904732636755
'Lindsay','LDP','LP',558,'LindsayLDP',1627,0.342962507682852
'Lindsay','LDP','IMO',180,'LindsayLDP',1627,0.110633066994468
'Lindsay','IMO','ALP',276,'LindsayIMO',2255,0.122394678492239
'Lindsay','IMO','GRN',287,'LindsayIMO',2255,0.127272727272727
'Lindsay','IMO','ON',549,'LindsayIMO',2255,0.243458980044346
'Lindsay','IMO','UAPP',660,'LindsayIMO',2255,0.292682926829268
'Lindsay','IMO','LP',483,'LindsayIMO',2255,0.214190687361419
'Lindsay','UAPP','ALP',651,'LindsayUAPP',5363,0.121387283236994
'Lindsay','UAPP','GRN',525,'LindsayUAPP',5363,0.0978929703524147
'Lindsay','UAPP','ON',3277,'LindsayUAPP',5363,0.611038597799739
'Lindsay','UAPP','LP',910,'LindsayUAPP',5363,0.169681148610852
'Lindsay','GRN','ALP',6699,'LindsayGRN',9289,0.721175584024115
'Lindsay','GRN','ON',1208,'LindsayGRN',9289,0.130046291312305
'Lindsay','GRN','LP',1382,'LindsayGRN',9289,0.148778124663581
'Lindsay','ON','ALP',4725,'LindsayON',11456,0.412447625698324
'Lindsay','ON','LP',6731,'LindsayON',11456,0.587552374301676
'Lyne','IND','UAPP',678,'LyneIND',11580,0.0585492227979275
'Lyne','IND','NP',494,'LyneIND',11580,0.0426597582037997
'Lyne','IND','ALP',431,'LyneIND',11580,0.0372193436960276
'Lyne','IND','IND',1590,'LyneIND',11580,0.137305699481865
'Lyne','IND','LDP',107,'LyneIND',11580,0.00924006908462867
'Lyne','IND','ON',196,'LyneIND',11580,0.0169257340241796
'Lyne','IND','GRN',324,'LyneIND',11580,0.027979274611399
'Lyne','UAPP','NP',1263,'LyneUAPP',5099,0.24769562659345
'Lyne','UAPP','ALP',393,'LyneUAPP',5099,0.0770739360658953
'Lyne','UAPP','IND',596,'LyneUAPP',5099,0.116885663855658
'Lyne','UAPP','LDP',1015,'LyneUAPP',5099,0.199058638948813
'Lyne','UAPP','ON',1609,'LyneUAPP',5099,0.315552069033144
'Lyne','UAPP','GRN',223,'LyneUAPP',5099,0.0437340655030398
'Lyne','IND','NP',1929,'LyneIND',11580,0.166580310880829
'Lyne','IND','ALP',1649,'LyneIND',11580,0.142400690846287
'Lyne','IND','LDP',1079,'LyneIND',11580,0.0931778929188256
'Lyne','IND','ON',1633,'LyneIND',11580,0.141018998272884
'Lyne','IND','GRN',1470,'LyneIND',11580,0.126943005181347
'Lyne','LDP','NP',3690,'LyneLDP',9025,0.408864265927978
'Lyne','LDP','ALP',920,'LyneLDP',9025,0.101939058171745
'Lyne','LDP','ON',3705,'LyneLDP',9025,0.410526315789474
'Lyne','LDP','GRN',710,'LyneLDP',9025,0.0786703601108033
'Lyne','GRN','NP',2195,'LyneGRN',11149,0.196878643824558
'Lyne','GRN','ALP',7417,'LyneGRN',11149,0.665261458426765
'Lyne','GRN','ON',1537,'LyneGRN',11149,0.137859897748677
'Lyne','ON','NP',12189,'LyneON',17182,0.709405191479455
'Lyne','ON','ALP',4993,'LyneON',17182,0.290594808520545
'Macarthur','LDP','GRN',195,'MacarthurLDP',2197,0.0887573964497041
'Macarthur','LDP','LP',882,'MacarthurLDP',2197,0.401456531634046
'Macarthur','LDP','ALP',372,'MacarthurLDP',2197,0.169321802457897
'Macarthur','LDP','UAPP',278,'MacarthurLDP',2197,0.126536185707783
'Macarthur','LDP','ON',470,'MacarthurLDP',2197,0.213928083750569
'Macarthur','UAPP','GRN',688,'MacarthurUAPP',6880,0.1
'Macarthur','UAPP','LP',905,'MacarthurUAPP',6880,0.131540697674419
'Macarthur','UAPP','ALP',1264,'MacarthurUAPP',6880,0.183720930232558
'Macarthur','UAPP','ON',4023,'MacarthurUAPP',6880,0.584738372093023
'Macarthur','GRN','LP',2335,'MacarthurGRN',9467,0.246646244850533
'Macarthur','GRN','ALP',5977,'MacarthurGRN',9467,0.631351008767297
'Macarthur','GRN','ON',1155,'MacarthurGRN',9467,0.12200274638217
'Macarthur','ON','LP',8099,'MacarthurON',14524,0.557628752409805
'Macarthur','ON','ALP',6425,'MacarthurON',14524,0.442371247590196
'Mackellar','TNL','ON',225,'MackellarTNL',575,0.391304347826087
'Mackellar','TNL','IND',155,'MackellarTNL',575,0.269565217391304
'Mackellar','TNL','ALP',47,'MackellarTNL',575,0.0817391304347826
'Mackellar','TNL','LP',44,'MackellarTNL',575,0.0765217391304348
'Mackellar','TNL','UAPP',34,'MackellarTNL',575,0.0591304347826087
'Mackellar','TNL','GRN',70,'MackellarTNL',575,0.121739130434783
'Mackellar','ON','IND',516,'MackellarON',2849,0.181116181116181
'Mackellar','ON','ALP',160,'MackellarON',2849,0.0561600561600562
'Mackellar','ON','LP',433,'MackellarON',2849,0.151983151983152
'Mackellar','ON','UAPP',1645,'MackellarON',2849,0.577395577395577
'Mackellar','ON','GRN',95,'MackellarON',2849,0.0333450333450333
'Mackellar','UAPP','IND',1426,'MackellarUAPP',4560,0.312719298245614
'Mackellar','UAPP','ALP',576,'MackellarUAPP',4560,0.126315789473684
'Mackellar','UAPP','LP',2105,'MackellarUAPP',4560,0.461622807017544
'Mackellar','UAPP','GRN',453,'MackellarUAPP',4560,0.0993421052631579
'Mackellar','GRN','IND',3870,'MackellarGRN',6650,0.581954887218045
'Mackellar','GRN','ALP',1957,'MackellarGRN',6650,0.294285714285714
'Mackellar','GRN','LP',823,'MackellarGRN',6650,0.123759398496241
'Mackellar','ALP','IND',8282,'MackellarALP',10902,0.759677123463585
'Mackellar','ALP','LP',2620,'MackellarALP',10902,0.240322876536415
'Macquarie','LDP','ON',255,'MacquarieLDP',1272,0.200471698113208
'Macquarie','LDP','ALP',138,'MacquarieLDP',1272,0.108490566037736
'Macquarie','LDP','UAPP',231,'MacquarieLDP',1272,0.181603773584906
'Macquarie','LDP','AJP',88,'MacquarieLDP',1272,0.0691823899371069
'Macquarie','LDP','GRN',57,'MacquarieLDP',1272,0.044811320754717
'Macquarie','LDP','IMO',83,'MacquarieLDP',1272,0.065251572327044
'Macquarie','LDP','LP',420,'MacquarieLDP',1272,0.330188679245283
'Macquarie','IMO','ON',385,'MacquarieIMO',1401,0.274803711634547
'Macquarie','IMO','ALP',91,'MacquarieIMO',1401,0.0649536045681656
'Macquarie','IMO','UAPP',473,'MacquarieIMO',1401,0.337615988579586
'Macquarie','IMO','AJP',216,'MacquarieIMO',1401,0.154175588865096
'Macquarie','IMO','GRN',120,'MacquarieIMO',1401,0.0856531049250535
'Macquarie','IMO','LP',116,'MacquarieIMO',1401,0.0827980014275518
'Macquarie','AJP','ON',287,'MacquarieAJP',2317,0.123867069486405
'Macquarie','AJP','ALP',650,'MacquarieAJP',2317,0.280535174794994
'Macquarie','AJP','UAPP',265,'MacquarieAJP',2317,0.114372032801036
'Macquarie','AJP','GRN',879,'MacquarieAJP',2317,0.379369874838153
'Macquarie','AJP','LP',236,'MacquarieAJP',2317,0.101855848079413
'Macquarie','UAPP','ON',2339,'MacquarieUAPP',3743,0.624899812984237
'Macquarie','UAPP','ALP',437,'MacquarieUAPP',3743,0.116751269035533
'Macquarie','UAPP','GRN',282,'MacquarieUAPP',3743,0.0753406358535934
'Macquarie','UAPP','LP',685,'MacquarieUAPP',3743,0.183008282126636
'Macquarie','ON','ALP',2509,'MacquarieON',8221,0.305194015326603
'Macquarie','ON','GRN',1548,'MacquarieON',8221,0.188298260552244
'Macquarie','ON','LP',4164,'MacquarieON',8221,0.506507724121153
'Macquarie','GRN','ALP',10293,'MacquarieGRN',12001,0.857678526789434
'Macquarie','GRN','LP',1708,'MacquarieGRN',12001,0.142321473210566
'McMahon','LDP','ALP',367,'McMahonLDP',2822,0.130049610205528
'McMahon','LDP','UAPP',490,'McMahonLDP',2822,0.17363571934798
'McMahon','LDP','ON',722,'McMahonLDP',2822,0.255846917080085
'McMahon','LDP','LP',929,'McMahonLDP',2822,0.329199149539334
'McMahon','LDP','GRN',314,'McMahonLDP',2822,0.111268603827073
'McMahon','GRN','ALP',3478,'McMahonGRN',5236,0.664247517188694
'McMahon','GRN','UAPP',559,'McMahonGRN',5236,0.106760886172651
'McMahon','GRN','ON',359,'McMahonGRN',5236,0.0685637891520245
'McMahon','GRN','LP',840,'McMahonGRN',5236,0.160427807486631
'McMahon','ON','ALP',1002,'McMahonON',5693,0.176005620937994
'McMahon','ON','UAPP',3476,'McMahonON',5693,0.610574389601265
'McMahon','ON','LP',1215,'McMahonON',5693,0.213419989460741
'McMahon','UAPP','ALP',4909,'McMahonUAPP',12248,0.400800130633573
'McMahon','UAPP','LP',7339,'McMahonUAPP',12248,0.599199869366427
'Mitchell','ON','LDP',716,'MitchellON',3258,0.219766728054021
'Mitchell','ON','UAPP',1393,'MitchellON',3258,0.42756292203806
'Mitchell','ON','GRN',222,'MitchellON',3258,0.0681399631675875
'Mitchell','ON','ALP',234,'MitchellON',3258,0.0718232044198895
'Mitchell','ON','LP',693,'MitchellON',3258,0.212707182320442
'Mitchell','LDP','UAPP',1694,'MitchellLDP',4424,0.382911392405063
'Mitchell','LDP','GRN',459,'MitchellLDP',4424,0.10375226039783
'Mitchell','LDP','ALP',530,'MitchellLDP',4424,0.119801084990958
'Mitchell','LDP','LP',1741,'MitchellLDP',4424,0.393535262206148
'Mitchell','UAPP','GRN',2065,'MitchellUAPP',7003,0.294873625589033
'Mitchell','UAPP','ALP',1797,'MitchellUAPP',7003,0.256604312437527
'Mitchell','UAPP','LP',3141,'MitchellUAPP',7003,0.44852206197344
'Mitchell','GRN','ALP',12373,'MitchellGRN',15542,0.796100887916613
'Mitchell','GRN','LP',3169,'MitchellGRN',15542,0.203899112083387
'New England','UAPP','LDP',287,'New EnglandUAPP',2545,0.112770137524558
'New England','UAPP','IND',382,'New EnglandUAPP',2545,0.150098231827112
'New England','UAPP','NP',442,'New EnglandUAPP',2545,0.173673870333988
'New England','UAPP','IND',260,'New EnglandUAPP',2545,0.102161100196464
'New England','UAPP','ON',878,'New EnglandUAPP',2545,0.344990176817289
'New England','UAPP','GRN',116,'New EnglandUAPP',2545,0.0455795677799607
'New England','UAPP','ALP',180,'New EnglandUAPP',2545,0.0707269155206287
'New England','IND','LDP',268,'New EnglandIND',18067,0.0148336746554492
'New England','IND','NP',385,'New EnglandIND',18067,0.0213095699341341
'New England','IND','IND',1653,'New EnglandIND',18067,0.0914927768860353
'New England','IND','ON',184,'New EnglandIND',18067,0.0101843139425472
'New England','IND','GRN',286,'New EnglandIND',18067,0.0158299662367853
'New England','IND','ALP',314,'New EnglandIND',18067,0.017379753141086
'New England','LDP','NP',1893,'New EnglandLDP',3729,0.507642799678198
'New England','LDP','IND',751,'New EnglandLDP',3729,0.201394475730759
'New England','LDP','ON',538,'New EnglandLDP',3729,0.144274604451596
'New England','LDP','GRN',177,'New EnglandLDP',3729,0.0474658085277554
'New England','LDP','ALP',370,'New EnglandLDP',3729,0.0992223116116922
'New England','ON','NP',2174,'New EnglandON',6170,0.352350081037277
'New England','ON','IND',2714,'New EnglandON',6170,0.439870340356564
'New England','ON','GRN',573,'New EnglandON',6170,0.0928687196110211
'New England','ON','ALP',709,'New EnglandON',6170,0.114910858995138
'New England','GRN','NP',876,'New EnglandGRN',8677,0.100956551803619
'New England','GRN','IND',1940,'New EnglandGRN',8677,0.223579578195229
'New England','GRN','ALP',5861,'New EnglandGRN',8677,0.675463870001153
'New England','IND','NP',7816,'New EnglandIND',18067,0.43261194442907
'New England','IND','ALP',7161,'New EnglandIND',18067,0.396358000774893
'Newcastle','CYA','GRN',433,'NewcastleCYA',1102,0.392921960072595
'Newcastle','CYA','UAPP',168,'NewcastleCYA',1102,0.152450090744102
'Newcastle','CYA','ALP',117,'NewcastleCYA',1102,0.106170598911071
'Newcastle','CYA','IMO',119,'NewcastleCYA',1102,0.107985480943739
'Newcastle','CYA','LP',90,'NewcastleCYA',1102,0.0816696914700544
'Newcastle','CYA','ON',92,'NewcastleCYA',1102,0.0834845735027223
'Newcastle','CYA','AJP',83,'NewcastleCYA',1102,0.0753176043557169
'Newcastle','IMO','GRN',161,'NewcastleIMO',1259,0.127879269261319
'Newcastle','IMO','UAPP',193,'NewcastleIMO',1259,0.153296266878475
'Newcastle','IMO','ALP',115,'NewcastleIMO',1259,0.0913423351866561
'Newcastle','IMO','LP',110,'NewcastleIMO',1259,0.0873709293089754
