ID1,ID2,Total,Percentage
UAPP,JLN,1250,0.14%
UAPP,KAP,6054,0.70%
UAPP,LDP,11710,1.35%
UAPP,LNP,30642,3.54%
UAPP,LP,251619,29.09%
UAPP,NP,11967,1.38%
UAPP,ON,222345,25.70%
UAPP,SAL,213,0.02%
UAPP,SPP,321,0.04%
UAPP,TLOC,142,0.02%
UAPP,VNS,847,0.10%
UAPP,WAP,2074,0.24%
UAPP,XEN,525,0.06%
VNS,ALP,4982,15.73%
VNS,CYA,53,0.17%
VNS,GAP,173,0.55%
VNS,GVIC,17491,55.23%
VNS,IND,532,1.68%
VNS,LDP,291,0.92%
VNS,LP,2361,7.45%
VNS,ON,919,2.90%
VNS,SAL,1705,5.38%
VNS,TNL,65,0.21%
VNS,UAPP,3100,9.79%
WAP,AJP,426,1.00%
WAP,ALP,9648,22.59%
WAP,AUC,889,2.08%
WAP,GAP,2548,5.96%
WAP,Grn,7911,18.52%
WAP,IND,953,2.23%
WAP,LP,8412,19.69%
WAP,NP,329,0.77%
WAP,ON,8703,20.37%
WAP,UAPP,2899,6.79%
