,,,,,,,,,,
StateAb,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,CalculationType,CalculationValue
ACT,Bean,4,6,37198,HIATT,Jane,LP,Liberal,Preference Percent,37.05
ACT,Bean,4,6,37198,HIATT,Jane,LP,Liberal,Transfer Count,2696
ACT,Bean,4,6,37198,HIATT,Jane,LP,Liberal,Transfer Percent,14.26
ACT,Canberra,0,1,36238,SMITH,Catherine,UAPP,United Australia Party,Preference Count,1687
ACT,Canberra,0,1,36238,SMITH,Catherine,UAPP,United Australia Party,Preference Percent,1.83
ACT,Canberra,0,1,36238,SMITH,Catherine,UAPP,United Australia Party,Transfer Count,0
ACT,Canberra,0,1,36238,SMITH,Catherine,UAPP,United Australia Party,Transfer Percent,0
ACT,Canberra,0,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Preference Count,1531
ACT,Canberra,0,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Preference Percent,1.66
ACT,Canberra,0,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Transfer Count,0
ACT,Canberra,0,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Transfer Percent,0
ACT,Canberra,0,3,32830,BOHM,Tim,IND,Independent,Preference Count,4772
ACT,Canberra,0,3,32830,BOHM,Tim,IND,Independent,Preference Percent,5.17
ACT,Canberra,0,3,32830,BOHM,Tim,IND,Independent,Transfer Count,0
ACT,Canberra,0,3,32830,BOHM,Tim,IND,Independent,Transfer Percent,0
ACT,Canberra,0,4,37211,MINSON,Slade,LP,Liberal,Preference Count,20102
ACT,Canberra,0,4,37211,MINSON,Slade,LP,Liberal,Preference Percent,21.77
ACT,Canberra,0,4,37211,MINSON,Slade,LP,Liberal,Transfer Count,0
ACT,Canberra,0,4,37211,MINSON,Slade,LP,Liberal,Transfer Percent,0
ACT,Canberra,0,5,36241,HOLLO,Tim,GRN,The Greens,Preference Count,22795
ACT,Canberra,0,5,36241,HOLLO,Tim,GRN,The Greens,Preference Percent,24.69
ACT,Canberra,0,5,36241,HOLLO,Tim,GRN,The Greens,Transfer Count,0
ACT,Canberra,0,5,36241,HOLLO,Tim,GRN,The Greens,Transfer Percent,0
ACT,Canberra,0,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Preference Count,41435
ACT,Canberra,0,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Preference Percent,44.88
ACT,Canberra,0,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Transfer Count,0
ACT,Canberra,0,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Transfer Percent,0
ACT,Canberra,1,1,36238,SMITH,Catherine,UAPP,United Australia Party,Preference Count,2546
ACT,Canberra,1,1,36238,SMITH,Catherine,UAPP,United Australia Party,Preference Percent,2.76
ACT,Canberra,1,1,36238,SMITH,Catherine,UAPP,United Australia Party,Transfer Count,859
ACT,Canberra,1,1,36238,SMITH,Catherine,UAPP,United Australia Party,Transfer Percent,56.11
ACT,Canberra,1,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Preference Count,0
ACT,Canberra,1,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Preference Percent,0
ACT,Canberra,1,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Transfer Count,-1531
ACT,Canberra,1,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Transfer Percent,-100
ACT,Canberra,1,3,32830,BOHM,Tim,IND,Independent,Preference Count,4977
ACT,Canberra,1,3,32830,BOHM,Tim,IND,Independent,Preference Percent,5.39
ACT,Canberra,1,3,32830,BOHM,Tim,IND,Independent,Transfer Count,205
ACT,Canberra,1,3,32830,BOHM,Tim,IND,Independent,Transfer Percent,13.39
ACT,Canberra,1,4,37211,MINSON,Slade,LP,Liberal,Preference Count,20405
ACT,Canberra,1,4,37211,MINSON,Slade,LP,Liberal,Preference Percent,22.1
ACT,Canberra,1,4,37211,MINSON,Slade,LP,Liberal,Transfer Count,303
ACT,Canberra,1,4,37211,MINSON,Slade,LP,Liberal,Transfer Percent,19.79
ACT,Canberra,1,5,36241,HOLLO,Tim,GRN,The Greens,Preference Count,22861
ACT,Canberra,1,5,36241,HOLLO,Tim,GRN,The Greens,Preference Percent,24.76
ACT,Canberra,1,5,36241,HOLLO,Tim,GRN,The Greens,Transfer Count,66
ACT,Canberra,1,5,36241,HOLLO,Tim,GRN,The Greens,Transfer Percent,4.31
ACT,Canberra,1,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Preference Count,41533
ACT,Canberra,1,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Preference Percent,44.99
ACT,Canberra,1,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Transfer Count,98
ACT,Canberra,1,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Transfer Percent,6.4
ACT,Canberra,2,1,36238,SMITH,Catherine,UAPP,United Australia Party,Preference Count,0
ACT,Canberra,2,1,36238,SMITH,Catherine,UAPP,United Australia Party,Preference Percent,0
ACT,Canberra,2,1,36238,SMITH,Catherine,UAPP,United Australia Party,Transfer Count,-2546
ACT,Canberra,2,1,36238,SMITH,Catherine,UAPP,United Australia Party,Transfer Percent,-100
ACT,Canberra,2,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Preference Count,0
ACT,Canberra,2,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Preference Percent,0
ACT,Canberra,2,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Transfer Count,0
ACT,Canberra,2,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Transfer Percent,0
