Eliminated Party,Pref to,Number
GRN,ALP,574
GRN,ON,2724
GRN,GRN,257
GRN,LP,1282
GRN,IND,539
ON,ALP,2467
ON,ON,454
ON,LP,658
ON,IND,2337
IND,ALP,2486
IND,LP,3653
IND,IND,5924
IND,GRN,128
IND,ALP,95
IND,AJP,213
IND,IND,414
IND,UAPP,201
IND,NP,97
IND,ON,216
IND,IND,94
AJP,GRN,164
AJP,ALP,149
AJP,AJP,107
AJP,IND,861
AJP,UAPP,117
AJP,NP,259
AJP,ON,366
UAPP,GRN,888
UAPP,ALP,495
UAPP,IND,566
UAPP,UAPP,233
UAPP,NP,254
UAPP,ON,353
IND,GRN,300
IND,ALP,501
IND,IND,1165
IND,NP,864
IND,ON,2091
GRN,GRN,1164
GRN,ALP,1592
GRN,NP,2024
GRN,ON,4352
ON,ALP,8992
ON,NP,2062
ON,ON,1152
UAPP,GRN,313
UAPP,UAPP,1961
UAPP,LP,477
UAPP,ALP,300
GRN,GRN,1407
GRN,LP,2920
GRN,ALP,1022
IMO,ALP,166
IMO,GRN,73
IMO,ON,219
IMO,UAPP,431
IMO,LP,558
IMO,IMO,180
UAPP,ALP,276
UAPP,GRN,287
UAPP,ON,549
UAPP,UAPP,660
UAPP,LP,483
GRN,ALP,651
GRN,GRN,525
GRN,ON,3277
GRN,LP,910
ON,ALP,6699
ON,ON,1208
ON,LP,1382
UAPP,UAPP,678
UAPP,NP,494
UAPP,ALP,431
UAPP,IND,1590
UAPP,LDP,107
UAPP,ON,196
UAPP,GRN,324
IND,NP,1263
IND,ALP,393
IND,IND,596
IND,LDP,1015
IND,ON,1609
IND,GRN,223
LDP,NP,1929
LDP,ALP,1649
LDP,LDP,1079
LDP,ON,1633
LDP,GRN,1470
GRN,NP,3690
GRN,ALP,920
GRN,ON,3705
GRN,GRN,710
ON,NP,2195
ON,ALP,7417
ON,ON,1537
UAPP,GRN,195
UAPP,LP,882
UAPP,ALP,372
UAPP,UAPP,278
UAPP,ON,470
GRN,GRN,688
GRN,LP,905
GRN,ALP,1264
GRN,ON,4023
ON,LP,2335
ON,ALP,5977
ON,ON,1155
ON,ON,225
ON,IND,155
ON,ALP,47
ON,LP,44
ON,UAPP,34
ON,GRN,70
UAPP,IND,516
UAPP,ALP,160
UAPP,LP,433
UAPP,UAPP,1645
UAPP,GRN,95
GRN,IND,1426
GRN,ALP,576
GRN,LP,2105
GRN,GRN,453
ALP,IND,3870
ALP,ALP,1957
ALP,LP,823
IMO,ON,255
IMO,ALP,138
IMO,UAPP,231
IMO,AJP,88
IMO,GRN,57
IMO,IMO,83
IMO,LP,420
AJP,ON,385
AJP,ALP,91
AJP,UAPP,473
AJP,AJP,216
AJP,GRN,120
AJP,LP,116
UAPP,ON,287
UAPP,ALP,650
UAPP,UAPP,265
UAPP,GRN,879
UAPP,LP,236
ON,ON,2339
ON,ALP,437
ON,GRN,282
ON,LP,685
GRN,ALP,2509
GRN,GRN,1548
GRN,LP,4164
GRN,ALP,367
GRN,UAPP,490
GRN,ON,722
GRN,LP,929
GRN,GRN,314
ON,ALP,3478
ON,UAPP,559
ON,ON,359
ON,LP,840
UAPP,ALP,1002
UAPP,UAPP,3476
UAPP,LP,1215
LDP,LDP,716
LDP,UAPP,1393
LDP,GRN,222
LDP,ALP,234
LDP,LP,693
UAPP,UAPP,1694
UAPP,GRN,459
UAPP,ALP,530
UAPP,LP,1741
GRN,GRN,2065
GRN,ALP,1797
GRN,LP,3141
IND,LDP,287
IND,IND,382
IND,NP,442
IND,IND,260
IND,ON,878
IND,GRN,116
IND,ALP,180
LDP,LDP,268
LDP,NP,385
LDP,IND,1653
LDP,ON,184
LDP,GRN,286
LDP,ALP,314
ON,NP,1893
ON,IND,751
ON,ON,538
ON,GRN,177
ON,ALP,370
GRN,NP,2174
GRN,IND,2714
GRN,GRN,573
GRN,ALP,709
IND,NP,876
IND,IND,1940
IND,ALP,5861
IMO,GRN,433
IMO,UAPP,168
IMO,ALP,117
IMO,IMO,119
IMO,LP,90
IMO,ON,92
IMO,AJP,83
UAPP,GRN,161
UAPP,UAPP,193
UAPP,ALP,115
UAPP,LP,110
UAPP,ON,397
UAPP,AJP,283
AJP,GRN,359
AJP,ALP,412
AJP,LP,366
AJP,ON,1479
AJP,AJP,262
ON,GRN,1549
ON,ALP,566
ON,LP,371
ON,ON,691
GRN,GRN,1935
GRN,ALP,1588
GRN,LP,3893
TNL,SPP,60
TNL,UAPP,70
TNL,GRN,43
TNL,TNL,36
TNL,LDP,81
TNL,LP,41
TNL,IND,49
TNL,ON,88
TNL,ALP,23
ON,SPP,71
ON,UAPP,15
ON,GRN,185
ON,LDP,53
ON,LP,144
ON,IND,304
ON,ON,11
ON,ALP,139
SPP,SPP,86
SPP,UAPP,542
SPP,GRN,34
SPP,LDP,221
SPP,LP,209
SPP,IND,100
SPP,ALP,56
LDP,UAPP,359
LDP,GRN,387
LDP,LDP,83
LDP,LP,123
LDP,IND,275
LDP,ALP,153
UAPP,UAPP,579
UAPP,GRN,75
UAPP,LP,640
UAPP,IND,160
UAPP,ALP,107
GRN,GRN,544
GRN,LP,1210
GRN,IND,1159
GRN,ALP,382
ALP,LP,1256
ALP,IND,4428
ALP,ALP,3892
CYA,LDP,14
CYA,ON,11
CYA,GRN,25
CYA,CYA,8
CYA,ALP,17
CYA,IAP,17
CYA,UAPP,12
CYA,NP,27
CYA,IND,112
IAP,LDP,295
IAP,ON,148
IAP,GRN,59
IAP,ALP,44
IAP,IAP,70
IAP,UAPP,52
IAP,NP,59
IAP,IND,97
UAPP,LDP,91
UAPP,ON,160
UAPP,GRN,395
UAPP,ALP,285
UAPP,UAPP,129
UAPP,NP,268
UAPP,IND,492
LDP,LDP,528
LDP,ON,1008
LDP,GRN,118
LDP,ALP,165
LDP,NP,468
LDP,IND,337
ON,ON,2163
ON,GRN,306
ON,ALP,325
ON,NP,1560
ON,IND,470
GRN,GRN,1025
GRN,ALP,1141
GRN,NP,3626
GRN,IND,3319
IND,ALP,4636
IND,NP,1070
IND,IND,5085
IND,IAP,167
IND,LDP,360
IND,ON,217
IND,NP,118
IND,UAPP,148
IND,IND,159
IND,ALP,144
IND,GRN,199
UAPP,IAP,350
UAPP,LDP,198
UAPP,ON,313
UAPP,NP,445
UAPP,UAPP,239
UAPP,ALP,518
UAPP,GRN,287
GRN,IAP,322
GRN,LDP,400
GRN,ON,1129
GRN,NP,505
GRN,ALP,260
GRN,GRN,143
IAP,IAP,1401
IAP,LDP,221
IAP,ON,302
IAP,NP,649
IAP,ALP,2270
LDP,LDP,1613
LDP,ON,1339
LDP,NP,1334
LDP,ALP,2420
ON,ON,3877
ON,NP,3428
ON,ALP,1210
ON,AJP,51
ON,LP,491
ON,ON,160
ON,UAPP,289
ON,GRN,77
ON,ALP,145
ON,IND,97
AJP,AJP,209
AJP,LP,427
AJP,UAPP,990
AJP,GRN,103
AJP,ALP,160
AJP,IND,282
IND,LP,992
IND,UAPP,314
IND,GRN,603
IND,ALP,405
IND,IND,343
UAPP,LP,1127
UAPP,UAPP,827
UAPP,GRN,756
UAPP,ALP,994
GRN,LP,3514
GRN,GRN,1651
GRN,ALP,1524
IMO,ON,285
IMO,LP,484
IMO,ALP,195
IMO,IMO,125
IMO,GRN,152
IMO,UAPP,380
UAPP,ON,580
UAPP,LP,176
UAPP,ALP,315
UAPP,GRN,341
UAPP,UAPP,596
GRN,ON,3552
GRN,LP,590
GRN,ALP,555
GRN,GRN,753
ON,ON,1316
ON,LP,1144
ON,ALP,7463
LDP,ALP,362
LDP,ON,73
LDP,IND,229
LDP,LDP,43
LDP,LP,79
LDP,UAPP,49
LDP,GRN,718
ON,ALP,236
ON,ON,215
ON,IND,185
ON,LP,779
ON,UAPP,371
ON,GRN,81
IND,ALP,215
IND,IND,458
IND,LP,377
IND,UAPP,1159
IND,GRN,76
UAPP,ALP,1055
UAPP,LP,1068
UAPP,UAPP,980
UAPP,GRN,763
GRN,ALP,1487
GRN,LP,2386
GRN,GRN,1216
IMO,IND,903
IMO,IMO,101
IMO,IND,94
IMO,LDP,38
IMO,ALP,30
IMO,NP,31
IMO,ON,23
IMO,GRN,30
IMO,UAPP,24
UAPP,IND,416
UAPP,IND,991
UAPP,LDP,217
UAPP,ALP,75
UAPP,NP,41
UAPP,ON,263
UAPP,GRN,193
UAPP,UAPP,176
IND,IND,225
IND,IND,157
IND,LDP,523
IND,ALP,178
IND,NP,257
IND,ON,1451
IND,GRN,331
IND,IND,2343
IND,LDP,210
IND,ALP,294
IND,NP,219
IND,ON,126
IND,GRN,326
ON,LDP,2465
ON,ALP,568
ON,NP,479
ON,ON,1148
ON,GRN,1266
LDP,LDP,2965
LDP,ALP,824
LDP,NP,2052
LDP,GRN,1243
GRN,ALP,2677
GRN,NP,9175
GRN,GRN,2247
IND,ON,985
IND,ALP,269
IND,ASP,361
IND,NP,383
IND,IND,179
IND,LDP,320
IND,GRN,88
GRN,ON,534
GRN,ALP,457
GRN,ASP,507
GRN,NP,481
GRN,LDP,401
GRN,GRN,500
ASP,ON,426
ASP,ALP,4304
ASP,ASP,673
ASP,NP,847
ASP,LDP,687
LDP,ON,2607
LDP,ALP,1643
LDP,NP,2463
LDP,LDP,1108
ON,ON,3119
ON,ALP,1596
ON,NP,4364
CEC,AJP,12
CEC,ALP,13
CEC,CEC,20
CEC,LP,13
CEC,UAPP,16
CEC,LDP,14
CEC,IAP,12
CEC,ON,53
CEC,IMO,38
CEC,GRN,29
LDP,AJP,47
LDP,ALP,42
LDP,LP,44
LDP,UAPP,32
LDP,LDP,25
LDP,IAP,33
LDP,ON,27
LDP,IMO,20
LDP,GRN,22
IAP,AJP,26
IAP,ALP,59
IAP,LP,254
IAP,UAPP,153
IAP,IAP,38
IAP,ON,158
IAP,IMO,52
IAP,GRN,35
IMO,AJP,226
IMO,ALP,237
IMO,LP,111
IMO,UAPP,68
IMO,ON,106
IMO,IMO,131
IMO,GRN,331
AJP,AJP,201
AJP,ALP,95
AJP,LP,74
AJP,UAPP,414
AJP,ON,399
AJP,GRN,172
UAPP,ALP,828
UAPP,LP,294
UAPP,UAPP,303
UAPP,ON,274
UAPP,GRN,762
ON,ALP,322
ON,LP,909
ON,ON,2165
ON,GRN,382
GRN,ALP,1676
GRN,LP,3170
GRN,GRN,2015
LDP,AJP,496
LDP,LDP,324
LDP,LP,325
LDP,ALP,501
LDP,UAPP,187
LDP,GRN,410
LDP,ON,311
AJP,AJP,270
AJP,LP,1444
AJP,ALP,313
AJP,UAPP,696
AJP,GRN,143
AJP,ON,442
UAPP,LP,1032
UAPP,ALP,783
UAPP,UAPP,403
UAPP,GRN,1054
UAPP,ON,473
ON,LP,742
ON,ALP,478
ON,GRN,526
ON,ON,2665
GRN,LP,5281
GRN,ALP,2222
GRN,GRN,2785
SAL,SAL,106
SAL,ALP,269
SAL,ON,74
SAL,GRN,275
SAL,UAPP,130
SAL,LP,148
ON,ALP,522
ON,ON,138
ON,GRN,831
ON,UAPP,75
ON,LP,58
UAPP,ALP,242
UAPP,GRN,222
UAPP,UAPP,1309
UAPP,LP,328
LP,ALP,658
LP,GRN,1029
LP,LP,2125
ON,ON,104
ON,IND,412
ON,UAPP,100
ON,GRN,452
ON,LP,191
ON,ALP,216
UAPP,IND,356
UAPP,UAPP,1261
UAPP,GRN,97
UAPP,LP,285
UAPP,ALP,85
GRN,IND,997
GRN,GRN,436
GRN,LP,1866
GRN,ALP,264
ALP,IND,4770
ALP,LP,771
ALP,ALP,2354
GRN,LP,702
GRN,UAPP,2539
GRN,ALP,544
GRN,GRN,393
UAPP,LP,935
UAPP,UAPP,850
UAPP,ALP,6808
LDP,ALP,56
LDP,GRN,56
LDP,UAPP,475
LDP,IND,76
LDP,LDP,126
LDP,LP,106
UAPP,ALP,56
UAPP,GRN,44
UAPP,UAPP,650
