Eliminated Party,Pref to,Number
CYA,ALP,222
CYA,IND,272
CYA,LP,124
CYA,GVIC,88
CYA,ON,287
CYA,UAPP,225
ON,ALP,1337
ON,IND,747
ON,LP,162
ON,GVIC,130
ON,ON,242
ON,UAPP,227
GVIC,ALP,591
GVIC,IND,1058
GVIC,LP,620
GVIC,GVIC,362
GVIC,UAPP,2968
UAPP,ALP,5818
UAPP,IND,1652
UAPP,LP,804
UAPP,UAPP,766
IND,ALP,1772
IND,IND,5117
IND,LP,3646
AJP,LDP,156
AJP,UAPP,98
AJP,AJP,44
AJP,LP,52
AJP,REAS,49
AJP,ALP,55
AJP,GVIC,61
REAS,LDP,67
REAS,UAPP,136
REAS,LP,162
REAS,REAS,182
REAS,ALP,268
REAS,GVIC,524
UAPP,LDP,130
UAPP,UAPP,103
UAPP,LP,155
UAPP,ALP,392
UAPP,GVIC,909
LDP,LDP,1167
LDP,LP,522
LDP,ALP,178
LDP,GVIC,387
GVIC,LP,2997
GVIC,ALP,590
GVIC,GVIC,581
LDP,IND,114
LDP,ALP,85
LDP,UAPP,109
LDP,ON,196
LDP,LDP,108
LDP,GVIC,59
LDP,LP,59
IND,IND,148
IND,ALP,263
IND,UAPP,618
IND,ON,517
IND,GVIC,235
IND,LP,750
ON,ALP,1076
ON,UAPP,556
ON,ON,409
ON,GVIC,476
ON,LP,418
GVIC,ALP,728
GVIC,UAPP,3420
GVIC,GVIC,557
GVIC,LP,712
UAPP,ALP,5799
UAPP,UAPP,1576
UAPP,LP,1535
UAPP,LDP,728
UAPP,ALP,248
UAPP,GVIC,223
UAPP,UAPP,1377
UAPP,LP,350
LDP,LDP,3296
LDP,ALP,1241
LDP,GVIC,1391
LDP,LP,1318
GVIC,ALP,2906
GVIC,GVIC,1580
GVIC,LP,6129
AJP,AJP,152
AJP,IND,251
AJP,UAPP,118
AJP,ON,272
AJP,GVIC,54
AJP,NP,58
AJP,ALP,65
AJP,LDP,22
AJP,LP,82
LDP,IND,837
LDP,UAPP,183
LDP,ON,246
LDP,GVIC,316
LDP,NP,54
LDP,ALP,125
LDP,LDP,41
LDP,LP,99
UAPP,IND,249
UAPP,UAPP,470
UAPP,ON,793
UAPP,GVIC,45
UAPP,NP,137
UAPP,ALP,84
UAPP,LP,585
GVIC,IND,480
GVIC,ON,2143
GVIC,GVIC,116
GVIC,NP,204
GVIC,ALP,123
GVIC,LP,263
NP,IND,2277
NP,ON,247
NP,NP,265
NP,ALP,1135
NP,LP,233
ON,IND,647
ON,ON,450
ON,ALP,337
ON,LP,3138
ALP,IND,4794
ALP,ALP,1198
ALP,LP,3525
ON,ON,179
ON,ALP,357
ON,LDP,131
ON,LP,186
ON,GVIC,1127
ON,UAPP,279
LDP,ALP,708
LDP,LDP,776
LDP,LP,353
LDP,GVIC,204
LDP,UAPP,1268
UAPP,ALP,789
UAPP,LP,1778
UAPP,GVIC,445
UAPP,UAPP,2680
GVIC,ALP,1589
GVIC,LP,5249
GVIC,GVIC,2244
ON,ALP,129
ON,UAPP,132
ON,IND,124
ON,LDP,137
ON,GVIC,64
ON,ON,103
ON,LP,75
IND,ALP,194
IND,UAPP,1030
IND,IND,234
IND,LDP,468
IND,GVIC,137
IND,LP,314
LDP,ALP,945
LDP,UAPP,498
LDP,LDP,395
LDP,GVIC,1295
LDP,LP,375
UAPP,ALP,422
UAPP,UAPP,2630
UAPP,GVIC,382
UAPP,LP,1326
GVIC,ALP,2270
GVIC,GVIC,1549
GVIC,LP,3964
DHJP,IND,17
DHJP,UAPP,11
DHJP,LDP,15
DHJP,DHJP,7
DHJP,ON,15
DHJP,IND,9
DHJP,LP,28
DHJP,ALP,10
DHJP,AJP,11
DHJP,GVIC,29
IND,IND,35
IND,UAPP,11
IND,LDP,18
IND,ON,25
IND,IND,10
IND,LP,35
IND,ALP,20
IND,AJP,21
IND,GVIC,9
AJP,IND,101
AJP,UAPP,20
AJP,LDP,22
AJP,ON,23
AJP,LP,56
AJP,ALP,24
AJP,AJP,19
AJP,GVIC,19
ON,IND,131
ON,UAPP,21
ON,LDP,31
ON,ON,19
ON,LP,49
ON,ALP,52
ON,GVIC,248
UAPP,IND,76
UAPP,UAPP,312
UAPP,LDP,271
UAPP,LP,111
UAPP,ALP,28
UAPP,GVIC,25
LDP,IND,247
LDP,LDP,709
LDP,LP,297
LDP,ALP,58
LDP,GVIC,75
GVIC,IND,549
GVIC,LP,1258
GVIC,ALP,226
GVIC,GVIC,113
ALP,IND,4725
ALP,LP,561
ALP,ALP,1693
LDP,LP,110
LDP,ON,175
LDP,GVIC,81
LDP,UAPP,118
LDP,ALP,89
LDP,LDP,166
LDP,AJP,151
AJP,LP,349
AJP,ON,613
AJP,GVIC,78
AJP,UAPP,737
AJP,ALP,127
AJP,AJP,173
ON,LP,382
ON,ON,389
ON,GVIC,931
ON,UAPP,466
ON,ALP,606
UAPP,LP,1026
UAPP,GVIC,571
UAPP,UAPP,3648
UAPP,ALP,487
GVIC,LP,6422
GVIC,GVIC,2649
GVIC,ALP,2080
VNS,IND,95
VNS,VNS,52
VNS,UAPP,110
VNS,ALP,143
VNS,LDP,197
VNS,ON,175
VNS,GVIC,82
VNS,LP,97
IND,IND,230
IND,UAPP,167
IND,ALP,327
IND,LDP,69
IND,ON,60
IND,GVIC,600
IND,LP,81
LDP,UAPP,991
LDP,ALP,676
LDP,LDP,253
LDP,ON,211
LDP,GVIC,440
LDP,LP,289
ON,UAPP,1205
ON,ALP,663
ON,ON,696
ON,GVIC,341
ON,LP,1017
GVIC,UAPP,2595
GVIC,ALP,701
GVIC,GVIC,667
GVIC,LP,668
UAPP,UAPP,1580
UAPP,ALP,7847
UAPP,LP,1895
AJP,IND,188
AJP,LP,142
AJP,ALP,64
AJP,LDP,302
AJP,AJP,69
AJP,GVIC,54
AJP,UAPP,530
IND,IND,197
IND,LP,138
IND,ALP,361
IND,LDP,84
IND,GVIC,882
IND,UAPP,131
LDP,LP,602
LDP,ALP,432
LDP,LDP,297
LDP,GVIC,519
LDP,UAPP,370
UAPP,LP,691
UAPP,ALP,232
UAPP,GVIC,263
UAPP,UAPP,1443
GVIC,LP,2778
GVIC,ALP,508
GVIC,GVIC,1250
IND,NP,130
IND,IND,160
IND,IND,142
IND,ALP,116
IND,GVIC,65
IND,UAPP,113
IND,ON,96
GVIC,NP,382
GVIC,IND,1257
GVIC,ALP,295
GVIC,GVIC,146
GVIC,UAPP,119
GVIC,ON,139
ON,NP,651
ON,IND,1439
ON,ALP,2964
ON,UAPP,369
ON,ON,251
UAPP,NP,1737
UAPP,IND,1509
UAPP,ALP,715
UAPP,UAPP,3426
IND,NP,4396
IND,IND,6691
IND,ALP,2211
VNS,GAP,142
VNS,VNS,33
VNS,ALP,71
VNS,ON,48
VNS,UAPP,45
VNS,LP,54
VNS,GVIC,85
VNS,LDP,112
GAP,GAP,145
GAP,ALP,308
GAP,ON,55
GAP,UAPP,51
GAP,LP,62
GAP,GVIC,1224
GAP,LDP,25
ON,ALP,581
ON,ON,482
ON,UAPP,469
ON,LP,122
ON,GVIC,114
ON,LDP,260
LDP,ALP,357
LDP,UAPP,1328
LDP,LP,351
LDP,GVIC,214
LDP,LDP,562
UAPP,ALP,352
UAPP,UAPP,2596
UAPP,LP,1147
UAPP,GVIC,441
GVIC,ALP,1229
GVIC,LP,5229
GVIC,GVIC,1464
LDP,GVIC,206
LDP,UAPP,271
LDP,ON,623
LDP,LDP,345
LDP,LP,138
LDP,ALP,138
UAPP,GVIC,199
UAPP,UAPP,726
UAPP,ON,895
UAPP,LP,887
UAPP,ALP,217
ON,GVIC,884
ON,ON,3573
ON,LP,1411
ON,ALP,603
GVIC,GVIC,2647
GVIC,LP,5909
GVIC,ALP,1922
IND,UAPP,335
IND,ALP,42
IND,GVIC,35
IND,LP,102
IND,LDP,241
IND,IND,73
IND,AJP,85
IND,VNS,24
AJP,UAPP,144
AJP,ALP,173
AJP,GVIC,269
AJP,LP,141
AJP,LDP,189
AJP,AJP,154
AJP,VNS,97
LDP,UAPP,99
LDP,ALP,197
LDP,GVIC,691
LDP,LP,122
LDP,LDP,81
LDP,VNS,365
UAPP,UAPP,985
UAPP,ALP,165
UAPP,GVIC,188
UAPP,LP,659
UAPP,VNS,110
VNS,ALP,678
VNS,GVIC,360
VNS,LP,1387
VNS,VNS,847
LP,ALP,627
LP,GVIC,3310
LP,LP,662
ON,ALP,173
ON,LDP,277
ON,ON,163
ON,LP,126
ON,GVIC,112
ON,UAPP,117
LDP,ALP,187
LDP,LDP,647
LDP,LP,315
LDP,GVIC,199
LDP,UAPP,1127
UAPP,ALP,557
UAPP,LP,1282
UAPP,GVIC,314
UAPP,UAPP,2417
GVIC,ALP,1847
GVIC,LP,3910
GVIC,GVIC,1547
LDP,GVIC,58
LDP,LP,68
LDP,IND,112
LDP,ON,199
LDP,ALP,55
LDP,LDP,124
LDP,UAPP,58
UAPP,GVIC,105
UAPP,LP,757
UAPP,IND,342
UAPP,ON,1083
UAPP,ALP,209
UAPP,UAPP,1176
GVIC,GVIC,252
GVIC,LP,905
GVIC,IND,577
GVIC,ON,2956
GVIC,ALP,535
ON,LP,1156
ON,IND,2906
ON,ON,458
ON,ALP,5428
IND,LP,4360
IND,IND,6102
IND,ALP,1523
CEC,LDP,42
CEC,NP,19
CEC,ON,81
CEC,ALP,15
CEC,CEC,21
CEC,UAPP,27
CEC,GVIC,18
CEC,SOPA,33
CEC,LP,34
CEC,IND,77
SOPA,LDP,43
SOPA,NP,38
SOPA,ON,85
SOPA,ALP,58
SOPA,UAPP,52
SOPA,GVIC,27
SOPA,SOPA,33
SOPA,LP,15
SOPA,IND,47
GVIC,LDP,35
GVIC,NP,40
GVIC,ON,66
GVIC,ALP,81
GVIC,UAPP,46
GVIC,GVIC,210
GVIC,LP,45
GVIC,IND,196
LDP,LDP,95
LDP,NP,181
LDP,ON,156
LDP,ALP,1261
LDP,UAPP,178
LDP,LP,205
LDP,IND,1237
UAPP,NP,1324
UAPP,ON,822
UAPP,ALP,259
UAPP,UAPP,269
UAPP,LP,637
UAPP,IND,270
ON,NP,629
ON,ON,2317
ON,ALP,453
ON,LP,386
ON,IND,608
ALP,NP,3755
ALP,ALP,924
ALP,LP,1563
ALP,IND,3504
LP,NP,3313
LP,LP,1798
LP,IND,8910
LDP,GVIC,1213
LDP,ON,151
LDP,LDP,98
LDP,ALP,423
LDP,UAPP,279
LDP,LP,305
ON,GVIC,289
ON,ON,1019
ON,ALP,545
ON,UAPP,678
ON,LP,989
GVIC,GVIC,1005
GVIC,ALP,954
GVIC,UAPP,4345
GVIC,LP,773
UAPP,ALP,9198
UAPP,UAPP,1994
UAPP,LP,1268
IND,IND,168
IND,LP,432
IND,ON,378
IND,GVIC,71
IND,IND,195
IND,UAPP,546
IND,ALP,183
ON,LP,638
ON,ON,454
ON,GVIC,150
ON,IND,736
ON,UAPP,382
ON,ALP,154
UAPP,LP,818
UAPP,GVIC,243
UAPP,IND,923
UAPP,UAPP,1838
UAPP,ALP,285
GVIC,LP,2486
GVIC,GVIC,330
GVIC,IND,2448
GVIC,ALP,810
ALP,LP,773
ALP,IND,4073
ALP,ALP,2392
AJP,LP,102
AJP,ON,253
AJP,VNS,82
AJP,SAL,72
AJP,UAPP,137
AJP,ALP,69
AJP,AJP,47
AJP,GVIC,27
ON,LP,122
ON,ON,108
ON,VNS,151
ON,SAL,165
ON,UAPP,117
ON,ALP,329
ON,GVIC,735
VNS,LP,418
VNS,VNS,212
VNS,SAL,150
VNS,UAPP,1810
VNS,ALP,208
VNS,GVIC,117
SAL,LP,170
SAL,SAL,1705
SAL,UAPP,126
SAL,ALP,266
SAL,GVIC,892
UAPP,LP,248
UAPP,UAPP,517
UAPP,ALP,938
UAPP,GVIC,3485
LP,LP,3007
LP,ALP,1607
LP,GVIC,1445
LDP,ALP,92
LDP,LP,69
LDP,UAPP,73
LDP,GRN,41
LDP,AUC,42
LDP,WAP,64
LDP,LDP,35
LDP,GAP,129
LDP,ON,53
GAP,ALP,146
GAP,LP,268
GAP,UAPP,125
GAP,GRN,75
GAP,AUC,49
GAP,WAP,116
GAP,GAP,114
GAP,ON,216
AUC,ALP,85
AUC,LP,36
AUC,UAPP,368
AUC,GRN,69
AUC,AUC,146
AUC,WAP,297
AUC,ON,732
WAP,ALP,252
WAP,LP,667
WAP,UAPP,547
WAP,GRN,168
WAP,WAP,242
WAP,ON,451
UAPP,ALP,856
UAPP,LP,522
UAPP,UAPP,401
UAPP,GRN,690
UAPP,ON,842
ON,ALP,459
ON,LP,836
ON,GRN,451
ON,ON,2479
GRN,ALP,2201
GRN,LP,3742
GRN,GRN,3969
UAPP,ON,817
UAPP,UAPP,255
UAPP,GRN,125
UAPP,WAP,190
UAPP,LP,72
UAPP,AUC,150
UAPP,ALP,132
WAP,ON,1254
WAP,GRN,274
WAP,WAP,356
WAP,LP,219
WAP,AUC,268
WAP,ALP,158
AUC,ON,724
AUC,GRN,651
AUC,LP,524
AUC,AUC,337
AUC,ALP,700
ON,ON,1109
ON,GRN,314
ON,LP,2119
ON,ALP,641
GRN,GRN,3542
GRN,LP,3229
GRN,ALP,1569
LDP,LP,25
LDP,ALP,26
LDP,ON,100
LDP,UAPP,66
LDP,WAP,67
LDP,IMO,222
LDP,GRN,25
LDP,IND,46
LDP,AUC,19
LDP,LDP,32
IMO,LP,173
IMO,ALP,38
IMO,ON,125
IMO,UAPP,98
IMO,WAP,69
IMO,IMO,54
IMO,GRN,43
IMO,IND,69
IMO,AUC,112
AUC,LP,41
AUC,ALP,58
AUC,ON,218
AUC,UAPP,149
AUC,WAP,142
AUC,GRN,96
AUC,IND,248
AUC,AUC,109
IND,LP,1148
IND,ALP,75
IND,ON,246
IND,UAPP,94
IND,WAP,92
IND,GRN,61
IND,IND,213
WAP,LP,176
WAP,ALP,161
WAP,ON,433
WAP,UAPP,582
WAP,WAP,512
WAP,GRN,420
UAPP,LP,607
UAPP,ALP,617
UAPP,ON,722
UAPP,UAPP,546
UAPP,GRN,592
ON,LP,396
ON,ALP,228
ON,ON,2898
ON,GRN,451
GRN,LP,3577
GRN,ALP,1689
GRN,GRN,3691
CYA,ALP,175
CYA,GRN,63
CYA,AUC,40
CYA,CYA,69
CYA,ON,180
CYA,WAP,150
CYA,UAPP,107
CYA,LP,260
CYA,AJP,36
AJP,ALP,89
AJP,GRN,62
AJP,AUC,230
AJP,ON,323
AJP,WAP,147
AJP,UAPP,193
AJP,LP,72
AJP,AJP,78
AUC,ALP,308
AUC,GRN,597
AUC,AUC,97
AUC,ON,144
AUC,WAP,355
AUC,UAPP,133
AUC,LP,255
WAP,ALP,286
WAP,GRN,243
WAP,ON,446
WAP,WAP,199
WAP,UAPP,208
WAP,LP,844
UAPP,ALP,582
UAPP,GRN,514
UAPP,ON,495
UAPP,UAPP,473
UAPP,LP,501
ON,ALP,324
ON,GRN,466
ON,ON,2102
ON,LP,645
GRN,ALP,1014
GRN,GRN,2487
GRN,LP,3028
WAP,UAPP,197
WAP,WAP,113
WAP,LP,52
WAP,ON,294
WAP,IND,68
WAP,ALP,13
WAP,GRN,26
ON,UAPP,199
ON,LP,390
ON,ON,134
ON,IND,320
ON,ALP,186
ON,GRN,127
UAPP,UAPP,1093
UAPP,LP,232
UAPP,IND,249
UAPP,ALP,83
UAPP,GRN,81
GRN,LP,1509
GRN,IND,1335
GRN,ALP,211
GRN,GRN,262
ALP,LP,870
ALP,IND,5978
ALP,ALP,4537
UAPP,LP,567
UAPP,GAP,419
UAPP,WAP,126
UAPP,ALP,69
UAPP,ON,92
UAPP,NP,54
UAPP,GRN,36
UAPP,UAPP,90
WAP,LP,223
WAP,GAP,294
WAP,WAP,194
WAP,ALP,121
WAP,ON,994
WAP,NP,206
WAP,GRN,287
GAP,LP,449
GAP,GAP,694
GAP,ALP,541
GAP,ON,450
GAP,NP,329
GAP,GRN,340
GRN,LP,449
GRN,ALP,425
GRN,ON,2531
GRN,NP,388
GRN,GRN,352
ON,LP,1144
ON,ALP,5656
ON,ON,842
ON,NP,1830
NP,LP,2459
NP,ALP,1618
NP,NP,7006
LDP,UAPP,129
LDP,LDP,75
LDP,GRN,135
LDP,WAP,131
LDP,GAP,447
LDP,ALP,41
LDP,ON,140
LDP,LP,54
WAP,UAPP,336
WAP,GRN,203
WAP,WAP,188
WAP,GAP,119
WAP,ALP,137
WAP,ON,212
WAP,LP,457
UAPP,UAPP,281
UAPP,GRN,439
UAPP,GAP,618
UAPP,ALP,424
UAPP,ON,293
UAPP,LP,394
GAP,GRN,871
GAP,GAP,692
GAP,ALP,177
GAP,ON,1127
GAP,LP,305
ON,GRN,671
ON,ALP,454
ON,ON,3314
ON,LP,344
GRN,GRN,3251
GRN,ALP,1870
GRN,LP,4985
LDP,GAP,87
LDP,CYA,58
LDP,ALP,222
LDP,UAPP,17
LDP,LP,17
LDP,GRN,707
LDP,LDP,12
LDP,WAP,46
LDP,ON,18
CYA,GAP,64
CYA,CYA,85
CYA,ALP,164
CYA,UAPP,147
CYA,LP,324
CYA,GRN,143
CYA,WAP,171
CYA,ON,165
UAPP,GAP,665
UAPP,ALP,156
UAPP,UAPP,140
UAPP,LP,96
UAPP,GRN,160
UAPP,WAP,129
UAPP,ON,164
WAP,GAP,313
WAP,ALP,186
WAP,LP,250
WAP,GRN,168
WAP,WAP,204
WAP,ON,1183
GAP,GAP,607
GAP,ALP,610
GAP,LP,465
GAP,GRN,566
GAP,ON,550
ON,ALP,1076
ON,LP,549
ON,GRN,560
ON,ON,1844
GRN,ALP,1316
GRN,LP,3213
GRN,GRN,2455
CYA,IND,93
CYA,GRN,53
CYA,UAPP,175
CYA,WAP,95
CYA,ON,200
CYA,LP,315
CYA,CYA,124
CYA,ALP,225
WAP,IND,209
WAP,GRN,200
WAP,UAPP,309
WAP,WAP,219
WAP,ON,517
WAP,LP,166
WAP,ALP,243
UAPP,IND,633
UAPP,GRN,409
UAPP,UAPP,318
UAPP,ON,425
UAPP,LP,523
UAPP,ALP,567
IND,IND,519
IND,GRN,401
IND,ON,2231
IND,LP,395
IND,ALP,229
ON,GRN,2303
ON,ON,1137
ON,LP,540
ON,ALP,792
GRN,GRN,3115
GRN,LP,3662
GRN,ALP,1516
GAP,GAP,257
GAP,WAP,96
GAP,ALP,19
GAP,GRN,40
GAP,LP,66
GAP,ON,144
GAP,UAPP,170
UAPP,WAP,808
UAPP,ALP,135
UAPP,GRN,108
UAPP,LP,112
UAPP,ON,600
UAPP,UAPP,420
WAP,WAP,456
WAP,ALP,114
WAP,GRN,192
WAP,LP,295
WAP,ON,1875
ON,ALP,1412
ON,GRN,961
ON,LP,1029
ON,ON,1053
GRN,ALP,1137
GRN,GRN,2332
GRN,LP,3744
UAPP,ON,166
UAPP,ALP,78
UAPP,GRN,134
UAPP,WAP,163
UAPP,AUC,101
UAPP,UAPP,97
UAPP,GAP,542
UAPP,LP,67
WAP,ON,782
WAP,ALP,104
WAP,GRN,85
WAP,WAP,139
WAP,AUC,123
WAP,GAP,381
WAP,LP,205
AUC,ON,448
AUC,ALP,417
AUC,GRN,456
AUC,AUC,222
AUC,GAP,629
AUC,LP,496
GAP,ON,681
GAP,ALP,219
GAP,GRN,170
GAP,GAP,508
GAP,LP,1647
ON,ON,2813
ON,ALP,298
ON,GRN,609
ON,LP,677
GRN,ALP,3231
GRN,GRN,3478
GRN,LP,5014
LDP,GAP,188
LDP,GRN,47
LDP,LDP,37
LDP,ALP,27
LDP,UAPP,36
LDP,WAP,65
LDP,ON,117
LDP,LP,51
LDP,AUC,116
AUC,GAP,134
AUC,GRN,199
AUC,ALP,287
AUC,UAPP,146
AUC,WAP,151
AUC,ON,190
AUC,LP,428
AUC,AUC,50
GAP,GAP,105
GAP,GRN,131
GAP,ALP,177
GAP,UAPP,158
GAP,WAP,172
GAP,ON,459
GAP,LP,1061
WAP,GRN,761
WAP,ALP,162
WAP,UAPP,552
WAP,WAP,368
WAP,ON,687
WAP,LP,57
UAPP,GRN,659
UAPP,ALP,634
UAPP,UAPP,440
UAPP,ON,667
UAPP,LP,562
ON,GRN,518
ON,ALP,383
ON,ON,2574
ON,LP,391
GRN,GRN,3203
GRN,ALP,1577
GRN,LP,4209
CYA,ON,131
CYA,AUC,65
CYA,WAP,109
CYA,AJP,36
CYA,ALP,35
CYA,LDP,19
CYA,UAPP,91
CYA,GRN,15
CYA,LP,23
CYA,CYA,178
LDP,ON,152
LDP,AUC,75
LDP,WAP,74
LDP,AJP,71
LDP,ALP,38
LDP,LDP,198
LDP,UAPP,125
LDP,GRN,71
LDP,LP,84
AJP,ON,217
AJP,AUC,143
AJP,WAP,127
AJP,AJP,69
AJP,ALP,258
AJP,UAPP,204
AJP,GRN,145
AJP,LP,461
AUC,ON,131
AUC,AUC,72
AUC,WAP,349
AUC,ALP,281
AUC,UAPP,88
AUC,GRN,672
AUC,LP,118
UAPP,ON,476
UAPP,WAP,260
UAPP,ALP,187
UAPP,UAPP,292
UAPP,GRN,113
UAPP,LP,541
WAP,ON,1324
WAP,WAP,471
WAP,ALP,138
WAP,GRN,252
WAP,LP,220
ON,ON,909
ON,ALP,887
ON,GRN,674
ON,LP,798
GRN,ALP,1669
GRN,GRN,1871
GRN,LP,2549
LDP,UAPP,104
LDP,LDP,135
LDP,AJP,59
LDP,ALP,64
LDP,WAP,119
LDP,ON,152
LDP,LP,22
LDP,GRN,32
LDP,AUC,105
AUC,UAPP,301
AUC,AJP,198
AUC,ALP,294
AUC,WAP,228
AUC,ON,248
AUC,LP,523
AUC,GRN,107
AUC,AUC,57
WAP,UAPP,441
WAP,AJP,96
WAP,ALP,205
WAP,WAP,148
WAP,ON,323
WAP,LP,645
WAP,GRN,234
AJP,UAPP,241
AJP,AJP,426
AJP,ALP,550
AJP,ON,423
AJP,LP,558
AJP,GRN,356
ON,UAPP,430
ON,ALP,714
ON,ON,343
ON,LP,312
ON,GRN,1194
UAPP,UAPP,2242
UAPP,ALP,489
UAPP,LP,743
UAPP,GRN,559
GRN,ALP,1776
GRN,LP,2782
GRN,GRN,1838
LDP,ON,185
LDP,WAP,129
LDP,AUC,114
LDP,UAPP,125
LDP,ALP,83
LDP,LP,101
LDP,LDP,212
LDP,GRN,79
UAPP,ON,249
UAPP,WAP,155
UAPP,AUC,80
UAPP,UAPP,231
UAPP,ALP,109
UAPP,LP,336
UAPP,GRN,162
WAP,ON,1146
WAP,WAP,254
WAP,AUC,199
WAP,ALP,126
WAP,LP,216
WAP,GRN,136
AUC,ON,568
AUC,AUC,330
AUC,ALP,665
AUC,LP,594
AUC,GRN,477
ON,ON,953
ON,ALP,445
ON,LP,1545
ON,GRN,261
GRN,ALP,1286
GRN,LP,2572
GRN,GRN,1531
