ID1,ID2,Percentage
TNL,AUP,0.71
TNL,CYA,1.64
TNL,DPDA,0.23
TNL,GAP,1.32
TNL,GRN,14.23
TNL,GVIC,9.41
TNL,IAP,0.26
TNL,IND,19.98
TNL,LDP,3.92
TNL,LNP,4.74
TNL,LP,7.10
TNL,NP,0.42
TNL,ON,10.40
TNL,SPP,1.10
TNL,UAPP,6.87
UAPP,AJP,0.03
UAPP,ALP,19.19
UAPP,ASP,0.12
UAPP,AUC,0.07
UAPP,CLP,0.10
UAPP,GAP,0.19
UAPP,GRN,6.87
UAPP,GVIC,4.34
UAPP,HMP,0.12
UAPP,IAP,0.04
UAPP,IND,6.54
UAPP,JLN,0.14
UAPP,KAP,0.70
UAPP,LDP,1.35
UAPP,LNP,3.54
UAPP,LP,29.09
UAPP,NP,1.38
UAPP,ON,25.70
UAPP,SAL,0.02
UAPP,SPP,0.04
UAPP,TLOC,0.02
UAPP,VNS,0.10
UAPP,WAP,0.24
UAPP,XEN,0.06
VNS,ALP,15.73
VNS,CYA,0.17
VNS,GAP,0.55
VNS,GVIC,55.23
VNS,IND,1.68
VNS,LDP,0.92
VNS,LP,7.45
VNS,ON,2.90
VNS,SAL,5.38
VNS,TNL,0.21
VNS,UAPP,9.79
WAP,AJP,1.00
WAP,ALP,22.59
WAP,AUC,2.08
WAP,GAP,5.96
WAP,GRN,18.52
WAP,IND,2.23
WAP,LP,19.69
WAP,NP,0.77
WAP,ON,20.37
WAP,UAPP,6.79
