ID1,ID2,Number
UAPP,LP,910
GRN,ALP,6699
GRN,ON,1208
GRN,LP,1382
IND,UAPP,678
IND,NP,494
IND,ALP,431
IND,IND,1590
IND,LDP,107
IND,ON,196
IND,GRN,324
UAPP,NP,1263
UAPP,ALP,393
UAPP,IND,596
UAPP,LDP,1015
UAPP,ON,1609
UAPP,GRN,223
IND,NP,1929
IND,ALP,1649
IND,LDP,1079
IND,ON,1633
IND,GRN,1470
LDP,NP,3690
LDP,ALP,920
LDP,ON,3705
LDP,GRN,710
GRN,NP,2195
GRN,ALP,7417
GRN,ON,1537
LDP,GRN,195
LDP,LP,882
LDP,ALP,372
LDP,UAPP,278
LDP,ON,470
UAPP,GRN,688
UAPP,LP,905
UAPP,ALP,1264
UAPP,ON,4023
GRN,LP,2335
GRN,ALP,5977
GRN,ON,1155
TNL,ON,225
TNL,IND,155
TNL,ALP,47
TNL,LP,44
TNL,UAPP,34
TNL,GRN,70
ON,IND,516
ON,ALP,160
ON,LP,433
ON,UAPP,1645
ON,GRN,95
UAPP,IND,1426
UAPP,ALP,576
UAPP,LP,2105
UAPP,GRN,453
GRN,IND,3870
GRN,ALP,1957
GRN,LP,823
LDP,ON,255
LDP,ALP,138
LDP,UAPP,231
LDP,AJP,88
LDP,GRN,57
LDP,IMO,83
LDP,LP,420
IMO,ON,385
IMO,ALP,91
IMO,UAPP,473
IMO,AJP,216
IMO,GRN,120
IMO,LP,116
AJP,ON,287
AJP,ALP,650
AJP,UAPP,265
AJP,GRN,879
AJP,LP,236
UAPP,ON,2339
UAPP,ALP,437
UAPP,GRN,282
UAPP,LP,685
ON,ALP,2509
ON,GRN,1548
ON,LP,4164
LDP,ALP,367
LDP,UAPP,490
LDP,ON,722
LDP,LP,929
LDP,GRN,314
GRN,ALP,3478
GRN,UAPP,559
GRN,ON,359
GRN,LP,840
ON,ALP,1002
ON,UAPP,3476
ON,LP,1215
ON,LDP,716
ON,UAPP,1393
ON,GRN,222
ON,ALP,234
ON,LP,693
LDP,UAPP,1694
LDP,GRN,459
LDP,ALP,530
LDP,LP,1741
UAPP,GRN,2065
UAPP,ALP,1797
UAPP,LP,3141
UAPP,LDP,287
UAPP,IND,382
UAPP,NP,442
UAPP,IND,260
UAPP,ON,878
UAPP,GRN,116
UAPP,ALP,180
IND,LDP,268
IND,NP,385
IND,IND,1653
IND,ON,184
IND,GRN,286
IND,ALP,314
LDP,NP,1893
LDP,IND,751
LDP,ON,538
LDP,GRN,177
LDP,ALP,370
ON,NP,2174
ON,IND,2714
ON,GRN,573
ON,ALP,709
GRN,NP,876
GRN,IND,1940
GRN,ALP,5861
CYA,GRN,433
CYA,UAPP,168
CYA,ALP,117
CYA,IMO,119
CYA,LP,90
CYA,ON,92
CYA,AJP,83
IMO,GRN,161
IMO,UAPP,193
IMO,ALP,115
IMO,LP,110
IMO,ON,397
IMO,AJP,283
UAPP,GRN,359
UAPP,ALP,412
UAPP,LP,366
UAPP,ON,1479
UAPP,AJP,262
AJP,GRN,1549
AJP,ALP,566
AJP,LP,371
AJP,ON,691
ON,GRN,1935
ON,ALP,1588
ON,LP,3893
IMO,SPP,60
IMO,UAPP,70
IMO,GRN,43
IMO,TNL,36
IMO,LDP,81
IMO,LP,41
IMO,IND,49
IMO,ON,88
IMO,ALP,23
TNL,SPP,71
TNL,UAPP,15
TNL,GRN,185
TNL,LDP,53
TNL,LP,144
TNL,IND,304
TNL,ON,11
TNL,ALP,139
ON,SPP,86
ON,UAPP,542
ON,GRN,34
ON,LDP,221
ON,LP,209
ON,IND,100
ON,ALP,56
SPP,UAPP,359
SPP,GRN,387
SPP,LDP,83
SPP,LP,123
SPP,IND,275
SPP,ALP,153
LDP,UAPP,579
LDP,GRN,75
LDP,LP,640
LDP,IND,160
LDP,ALP,107
UAPP,GRN,544
UAPP,LP,1210
UAPP,IND,1159
UAPP,ALP,382
GRN,LP,1256
GRN,IND,4428
GRN,ALP,3892
TNL,LDP,14
TNL,ON,11
TNL,GRN,25
TNL,CYA,8
TNL,ALP,17
TNL,IAP,17
TNL,UAPP,12
TNL,NP,27
TNL,IND,112
CYA,LDP,295
CYA,ON,148
CYA,GRN,59
CYA,ALP,44
CYA,IAP,70
CYA,UAPP,52
CYA,NP,59
CYA,IND,97
IAP,LDP,91
IAP,ON,160
IAP,GRN,395
IAP,ALP,285
IAP,UAPP,129
IAP,NP,268
IAP,IND,492
UAPP,LDP,528
UAPP,ON,1008
UAPP,GRN,118
UAPP,ALP,165
UAPP,NP,468
UAPP,IND,337
LDP,ON,2163
LDP,GRN,306
LDP,ALP,325
LDP,NP,1560
LDP,IND,470
ON,GRN,1025
ON,ALP,1141
ON,NP,3626
ON,IND,3319
GRN,ALP,4636
GRN,NP,1070
GRN,IND,5085
IMO,IAP,167
IMO,LDP,360
IMO,ON,217
IMO,NP,118
IMO,UAPP,148
IMO,IND,159
IMO,ALP,144
IMO,GRN,199
IND,IAP,350
IND,LDP,198
IND,ON,313
IND,NP,445
IND,UAPP,239
IND,ALP,518
IND,GRN,287
UAPP,IAP,322
UAPP,LDP,400
UAPP,ON,1129
UAPP,NP,505
UAPP,ALP,260
UAPP,GRN,143
GRN,IAP,1401
GRN,LDP,221
